,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,sales_country,media_type,cost,id,store_id,customer_id,product_id
39,4.08,1.7952,3,Sales Days,USA,Bulk Mail,116.74,58,s58,c58,prod4
40,2.72,1.0336,2,Double Down Sale,USA,"Daily Paper, Radio",62.67,68,s58,c67,prod4
41,2.72,0.8432,2,Two for One,USA,"Daily Paper, Radio, TV",57.52,71,s58,c71,prod4
42,5.44,2.72,4,Price Savers,USA,Cash Register Handout,128.2,76,s73,c76,prod4
43,4.08,1.5096,3,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,79,s73,c79,prod4
44,4.08,1.836,3,Shelf Emptiers,USA,Bulk Mail,117.86,87,s82,c87,prod4
45,5.44,1.6864,4,Saving Days,USA,"Sunday Paper, Radio, TV",67.11,88,s82,c88,prod4
46,4.08,1.5912,3,Save-It Sale,USA,Daily Paper,81.79,92,s82,c92,prod4
47,5.44,2.176,4,Shelf Emptiers,USA,Street Handout,137.34,93,s82,c93,prod4
48,5.44,2.0128,4,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,97,s82,c97,prod4
49,6.8,2.04,5,Weekend Markdown,USA,Daily Paper,140.57,106,s100,c106,prod4
50,4.08,1.9584,3,Green Light Days,USA,Cash Register Handout,139.19,109,s100,c109,prod4
51,1.36,0.4488,1,Super Savers,USA,TV,114.98,111,s110,c111,prod4
52,4.08,1.632,3,You Save Days,USA,Sunday Paper,51.27,178,s113,c117,prod4
53,2.72,1.36,2,Price Destroyers,USA,"Sunday Paper, Radio",115.05,183,s113,c122,prod4
54,2.72,1.3328,2,Dimes Off,USA,Bulk Mail,84.97,193,s126,c126,prod4
55,3.74,1.6082,2,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,7,s0,c7,prod7
56,7.48,3.1416,4,Price Savers,USA,"Sunday Paper, Radio",80.29,14,s0,c14,prod7
57,5.61,2.1318,3,Price Slashers,USA,"Sunday Paper, Radio, TV",54.11,16,s0,c16,prod7
58,5.61,2.5806,3,Weekend Markdown,USA,In-Store Coupon,73.05,28,s18,c28,prod7
59,5.61,2.4684,3,Price Savers,USA,Street Handout,115.13,29,s18,c29,prod7
60,5.61,2.4123,3,Super Duper Savers,USA,Sunday Paper,69.65,34,s18,c34,prod7
61,7.48,2.6928,4,Super Duper Savers,USA,Sunday Paper,69.65,35,s18,c35,prod7
62,5.61,2.4123,3,Big Promo,USA,Sunday Paper,51.12,36,s18,c36,prod7
63,7.48,2.244,4,Dollar Days,USA,"Daily Paper, Radio",138.81,38,s18,c38,prod7
64,7.48,3.2912,4,Savings Galore,USA,Street Handout,138.53,47,s40,c47,prod7
65,5.61,2.1318,3,Super Duper Savers,USA,"Sunday Paper, Radio",80.0,50,s40,c50,prod7
66,3.74,1.87,2,Two Day Sale,USA,Radio,91.28,54,s40,c54,prod7
67,5.61,1.9074,3,Savings Galore,USA,"Sunday Paper, Radio",136.57,67,s58,c67,prod7
68,5.61,1.7391,3,Super Savers,USA,"Sunday Paper, Radio",64.99,69,s58,c69,prod7
69,5.61,2.4684,3,Price Savers,USA,Cash Register Handout,128.2,74,s73,c74,prod7
70,3.74,1.3464,2,Save-It Sale,USA,Daily Paper,81.79,81,s73,c81,prod7
71,11.22,3.8148,6,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,95,s82,c95,prod7
72,1.87,0.6171,1,Sales Galore,USA,"Daily Paper, Radio",109.03,112,s110,c112,prod7
73,5.61,2.5245,3,Price Destroyers,USA,"Daily Paper, Radio, TV",58.27,181,s113,c120,prod7
74,5.61,1.9074,3,Price Destroyers,USA,"Daily Paper, Radio, TV",58.27,182,s113,c121,prod7
75,9.72,4.5684,3,High Roller Savings,USA,"Daily Paper, Radio",84.16,9,s0,c9,prod9
76,9.72,4.0824,3,Green Light Days,USA,Daily Paper,66.27,10,s0,c10,prod9
77,9.72,4.0824,3,Big Promo,USA,Sunday Paper,51.12,25,s18,c25,prod9
78,6.48,3.1104,2,Big Promo,USA,Sunday Paper,51.12,27,s18,c27,prod9
79,9.72,3.4992,3,Free For All,USA,In-Store Coupon,109.06,30,s18,c30,prod9
80,12.96,5.832,4,Double Down Sale,USA,TV,95.74,31,s18,c31,prod9
81,6.48,2.3328,2,Big Time Savings,USA,In-Store Coupon,135.8,46,s40,c46,prod9
82,6.48,2.1384,2,Two Day Sale,USA,Radio,91.28,48,s40,c48,prod9
83,12.96,4.4064,4,Price Smashers,USA,Product Attachment,138.23,49,s40,c49,prod9
84,12.96,4.9248,4,Shelf Clearing Days,USA,Radio,99.77,51,s40,c51,prod9
85,6.48,3.24,2,Weekend Markdown,USA,"Daily Paper, Radio",69.63,52,s40,c52,prod9
86,9.72,3.888,3,Weekend Markdown,USA,"Daily Paper, Radio",69.63,53,s40,c53,prod9
87,12.96,4.1472,4,Two Day Sale,USA,Radio,91.28,55,s40,c55,prod9
88,9.72,4.1796,3,Unbeatable Price Savers,USA,Bulk Mail,66.78,57,s40,c57,prod9
89,9.72,4.2768,3,Save-It Sale,USA,"Daily Paper, Radio, TV",89.37,64,s58,c64,prod9
90,9.72,4.4712,3,Super Savers,USA,"Sunday Paper, Radio",64.99,70,s58,c70,prod9
91,16.2,5.346,5,Two for One,USA,"Daily Paper, Radio, TV",57.52,72,s58,c72,prod9
92,12.96,4.536,4,Two for One,USA,Daily Paper,68.97,75,s73,c75,prod9
93,9.72,4.0824,3,Weekend Markdown,USA,Street Handout,53.37,78,s73,c78,prod9
94,12.96,6.0912,4,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,89,s82,c89,prod9
95,9.72,3.7908,3,High Roller Savings,USA,Daily Paper,101.84,90,s82,c90,prod9
96,12.96,4.536,4,Two Day Sale,USA,Sunday Paper,126.88,91,s82,c91,prod9
97,12.96,6.0912,4,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,94,s82,c94,prod9
98,12.96,4.9248,4,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,96,s82,c96,prod9
99,9.72,4.2768,3,Sales Galore,USA,Bulk Mail,96.55,98,s82,c98,prod9
100,16.2,6.156,5,Weekend Markdown,USA,Daily Paper,140.57,102,s100,c102,prod9
101,9.72,3.0132,3,Price Savers,USA,Product Attachment,62.27,107,s100,c107,prod9
102,6.48,3.24,2,Big Time Discounts,USA,In-Store Coupon,145.6,108,s100,c108,prod9
103,6.48,2.0088,2,Shelf Clearing Days,USA,In-Store Coupon,109.21,179,s113,c117,prod9
104,9.72,3.7908,3,Money Savers,USA,"Sunday Paper, Radio, TV",82.61,184,s113,c123,prod9
105,3.28,1.5416,2,Bag Stuffers,USA,Product Attachment,82.62,11,s0,c11,prod11
106,4.92,2.3124,3,Bag Stuffers,USA,"Daily Paper, Radio",126.62,13,s0,c13,prod11
107,6.56,3.28,4,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,15,s0,c15,prod11
108,4.92,1.5744,3,Bag Stuffers,USA,Product Attachment,82.62,17,s0,c17,prod11
109,4.92,2.1648,3,Super Duper Savers,USA,Sunday Paper,69.65,22,s18,c22,prod11
110,4.92,1.722,3,Big Promo,USA,Sunday Paper,51.12,26,s18,c26,prod11
111,4.92,2.3124,3,Super Duper Savers,USA,Sunday Paper,69.65,32,s18,c32,prod11
112,3.28,1.6072,2,Double Down Sale,USA,TV,95.74,39,s18,c39,prod11
113,4.92,2.0664,3,Double Down Sale,USA,Street Handout,59.19,56,s40,c56,prod11
114,3.28,1.0824,2,Super Savers,USA,"Sunday Paper, Radio",64.99,63,s58,c63,prod11
115,6.56,2.4928,4,Savings Galore,USA,"Sunday Paper, Radio",136.57,65,s58,c65,prod11
116,3.28,1.148,2,Price Destroyers,USA,"Daily Paper, Radio",62.26,66,s58,c66,prod11
117,6.56,2.8208,4,Shelf Emptiers,USA,"Daily Paper, Radio, TV",107.89,77,s73,c77,prod11
118,4.92,2.2632,3,Dollar Days,USA,Sunday Paper,143.04,80,s73,c80,prod11
119,6.56,2.8208,4,Double Down Sale,USA,Daily Paper,55.96,99,s82,c99,prod11
120,4.92,1.6236,3,Sale Winners,USA,Product Attachment,137.7,103,s100,c103,prod11
121,4.92,2.3124,3,High Roller Savings,USA,TV,72.61,104,s100,c104,prod11
122,4.92,1.8696,3,Weekend Markdown,USA,Street Handout,117.4,105,s100,c105,prod11
123,3.28,1.3776,2,Coupon Spectacular,USA,Daily Paper,90.58,110,s110,c110,prod11
124,6.56,2.4928,4,Super Duper Savers,USA,Cash Register Handout,129.5,180,s113,c119,prod11
125,8.2,2.542,5,Super Duper Savers,USA,Cash Register Handout,129.5,185,s113,c124,prod11
126,6.56,2.4928,4,Price Cutters,USA,Cash Register Handout,145.52,186,s113,c125,prod11
127,14.95,4.6345,5,Price Savers,USA,"Sunday Paper, Radio",80.29,197,s0,c2,prod127
128,11.96,5.5016,4,Cash Register Lottery,USA,In-Store Coupon,95.78,195,s0,c6,prod127
129,11.96,4.3056,4,Double Down Sale,USA,TV,95.74,311,s18,c31,prod127
130,8.97,4.3056,3,High Roller Savings,USA,Daily Paper,101.84,534,s82,c90,prod127
131,8.97,4.1262,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,223,s0,c155,prod127
132,5.98,2.0332,2,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,239,s0,c171,prod127
133,8.97,3.2292,3,Bag Stuffers,USA,"Daily Paper, Radio",126.62,240,s0,c172,prod127
134,5.98,2.392,2,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,260,s0,c192,prod127
135,8.97,3.9468,3,Price Savers,USA,"Sunday Paper, Radio",111.7,268,s18,c200,prod127
136,11.96,3.7076,4,Dollar Days,USA,"Daily Paper, Radio",138.81,315,s18,c247,prod127
137,8.97,3.1395,3,Price Winners,USA,In-Store Coupon,94.63,317,s18,c249,prod127
138,11.96,4.186,4,Super Duper Savers,USA,Sunday Paper,69.65,327,s18,c259,prod127
139,5.98,1.9136,2,Dollar Days,USA,"Daily Paper, Radio",138.81,333,s18,c265,prod127
140,8.97,4.3056,3,Two for One,USA,Product Attachment,59.83,343,s18,c275,prod127
141,5.98,2.1528,2,Super Duper Savers,USA,"Sunday Paper, Radio",80.0,352,s40,c284,prod127
142,5.98,2.093,2,Price Slashers,USA,"Sunday Paper, Radio, TV",100.44,360,s40,c291,prod127
143,8.97,3.9468,3,Bye Bye Baby,USA,Radio,90.58,366,s40,c298,prod127
144,11.96,4.784,4,Best Savings,USA,Street Handout,114.01,392,s40,c324,prod127
145,5.98,2.8106,2,Unbeatable Price Savers,USA,Bulk Mail,66.78,398,s40,c330,prod127
146,5.98,2.8106,2,Pick Your Savings,USA,Radio,147.17,475,s73,c407,prod127
147,5.98,1.794,2,Two for One,USA,Daily Paper,68.97,478,s73,c410,prod127
148,11.96,5.7408,4,Shelf Emptiers,USA,"Daily Paper, Radio, TV",107.89,508,s73,c440,prod127
149,8.97,3.0498,3,Mystery Sale,USA,"Daily Paper, Radio",68.84,519,s82,c451,prod127
150,5.98,2.392,2,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,530,s82,c462,prod127
151,8.97,2.8704,3,Sales Galore,USA,TV,106.16,546,s82,c478,prod127
152,5.98,2.5116,2,Big Time Discounts,USA,Product Attachment,109.93,572,s100,c504,prod127
153,8.97,3.7674,3,Saving Days,USA,"Daily Paper, Radio",118.36,589,s100,c521,prod127
154,8.97,3.9468,3,Unbeatable Price Savers,USA,Product Attachment,124.36,593,s100,c525,prod127
155,8.97,4.0365,3,Price Savers,USA,In-Store Coupon,81.85,609,s100,c541,prod127
156,11.96,4.5448,4,Weekend Markdown,USA,Street Handout,117.4,617,s100,c549,prod127
157,11.96,4.186,4,Saving Days,USA,"Daily Paper, Radio",118.36,626,s100,c558,prod127
158,8.97,3.0498,3,Fantastic Discounts,USA,"Daily Paper, Radio, TV",120.09,635,s110,c567,prod127
159,5.98,2.2126,2,Price Destroyers,USA,"Sunday Paper, Radio",115.05,873,s113,c576,prod127
160,8.97,2.7807,3,Money Savers,USA,"Sunday Paper, Radio, TV",82.61,914,s113,c617,prod127
161,6.54,2.7468,2,Price Savers,USA,"Sunday Paper, Radio",80.29,196,s0,c128,prod128
162,9.81,4.2183,3,Double Down Sale,USA,Radio,50.79,212,s0,c144,prod128
163,9.81,3.7278,3,High Roller Savings,USA,"Daily Paper, Radio",84.16,215,s0,c147,prod128
164,13.08,5.3628,4,I Cant Believe It Sale,USA,Product Attachment,69.47,220,s0,c152,prod128
165,9.81,3.1392,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,237,s0,c169,prod128
166,9.81,4.7088,3,Cash Register Lottery,USA,"Daily Paper, Radio, TV",55.59,243,s0,c175,prod128
167,9.81,4.5126,3,Double Down Sale,USA,Radio,50.79,255,s0,c187,prod128
168,13.08,3.924,4,Double Down Sale,USA,TV,95.74,271,s18,c202,prod128
169,9.81,3.3354,3,Double Down Sale,USA,TV,95.74,274,s18,c205,prod128
170,13.08,4.578,4,Unbeatable Price Savers,USA,"Daily Paper, Radio, TV",137.77,347,s40,c279,prod128
171,9.81,4.4145,3,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,472,s73,c404,prod128
172,13.08,4.7088,4,Price Destroyers,USA,TV,135.92,489,s73,c421,prod128
173,9.81,3.7278,3,High Roller Savings,USA,Daily Paper,101.84,492,s73,c424,prod128
174,9.81,4.7088,3,Save-It Sale,USA,Daily Paper,81.79,518,s82,c450,prod128
175,13.08,4.1856,4,Two Day Sale,USA,"Daily Paper, Radio",112.52,547,s82,c479,prod128
176,6.54,2.4198,2,High Roller Savings,USA,Daily Paper,101.84,550,s82,c482,prod128
177,13.08,6.1476,4,Price Cutters,USA,Product Attachment,129.2,565,s82,c497,prod128
178,13.08,4.0548,4,Price Slashers,USA,Sunday Paper,67.2,573,s100,c505,prod128
179,13.08,4.4472,4,Green Light Days,USA,Cash Register Handout,139.19,592,s100,c524,prod128
180,6.54,1.962,2,Super Wallet Savers,USA,Cash Register Handout,140.19,610,s100,c542,prod128
181,6.54,2.943,2,Weekend Markdown,USA,Daily Paper,140.57,621,s100,c553,prod128
182,9.81,4.8069,3,Wallet Savers,USA,"Daily Paper, Radio, TV",53.13,624,s100,c556,prod128
183,9.81,4.3164,3,Save-It Sale,USA,"Daily Paper, Radio",64.84,891,s113,c594,prod128
184,2.79,1.2555,3,Green Light Days,USA,Street Handout,133.42,426,s58,c65,prod130
185,4.65,1.953,5,Sales Days,USA,Bulk Mail,116.74,434,s58,c67,prod130
186,2.79,1.3671,3,Bag Stuffers,USA,"Daily Paper, Radio",126.62,198,s0,c130,prod130
187,1.86,0.7812,2,Bag Stuffers,USA,"Daily Paper, Radio",126.62,202,s0,c134,prod130
188,2.79,1.3671,3,I Cant Believe It Sale,USA,Product Attachment,69.47,217,s0,c149,prod130
189,2.79,0.9765,3,Big Time Savings,USA,Radio,53.45,246,s0,c178,prod130
190,2.79,0.837,3,Super Savers,USA,Cash Register Handout,71.51,296,s18,c228,prod130
191,2.79,1.0602,3,Double Down Sale,USA,TV,95.74,298,s18,c230,prod130
192,2.79,1.3671,3,Dollar Cutters,USA,"Sunday Paper, Radio",136.74,324,s18,c256,prod130
193,2.79,1.1997,3,Super Duper Savers,USA,Sunday Paper,69.65,339,s18,c271,prod130
194,1.86,0.8742,2,Best Savings,USA,Street Handout,114.01,350,s40,c282,prod130
195,3.72,1.8228,4,Go For It,USA,"Daily Paper, Radio, TV",100.55,410,s58,c341,prod130
196,1.86,0.5952,2,Dollar Cutters,USA,"Sunday Paper, Radio, TV",135.5,424,s58,c356,prod130
197,2.79,1.0881,3,Wallet Savers,USA,"Sunday Paper, Radio, TV",79.95,429,s58,c361,prod130
198,3.72,1.1904,4,Double Down Sale,USA,"Daily Paper, Radio",62.67,439,s58,c371,prod130
199,2.79,1.0044,3,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,465,s73,c396,prod130
200,2.79,0.8649,3,Best Savings,USA,"Daily Paper, Radio, TV",53.82,471,s73,c403,prod130
201,2.79,1.3671,3,Big Time Discounts,USA,"Daily Paper, Radio, TV",146.41,509,s73,c441,prod130
202,3.72,1.1904,4,Price Savers,USA,Cash Register Handout,128.2,526,s82,c458,prod130
203,2.79,1.0044,3,Green Light Days,USA,Cash Register Handout,139.19,575,s100,c507,prod130
204,2.79,1.116,3,Free For All,USA,"Sunday Paper, Radio",126.24,606,s100,c538,prod130
205,0.93,0.3999,1,Go For It,USA,Radio,73.02,631,s110,c563,prod130
206,2.79,1.1439,3,Shelf Clearing Days,USA,Sunday Paper,106.1,878,s113,c581,prod130
207,2.79,0.8649,3,Free For All,USA,Radio,140.9,879,s113,c582,prod130
208,2.79,0.9207,3,Price Destroyers,USA,"Sunday Paper, Radio",115.05,905,s113,c608,prod130
209,3.96,1.584,3,Price Slashers,USA,"Sunday Paper, Radio, TV",54.11,199,s0,c131,prod131
210,2.64,1.32,2,Big Time Savings,USA,Radio,53.45,250,s0,c182,prod131
211,5.28,1.6896,4,Bag Stuffers,USA,"Daily Paper, Radio",126.62,252,s0,c184,prod131
212,5.28,1.7424,4,Bag Stuffers,USA,Daily Paper,70.32,272,s18,c204,prod131
213,3.96,1.7424,3,Sales Galore,USA,Product Attachment,149.08,279,s18,c211,prod131
214,2.64,0.8184,2,Super Duper Savers,USA,Sunday Paper,69.65,281,s18,c212,prod131
215,3.96,1.2276,3,Double Down Sale,USA,TV,95.74,323,s18,c254,prod131
216,2.64,1.0032,2,Two for One,USA,Product Attachment,59.83,340,s18,c272,prod131
217,3.96,1.7424,3,Big Time Discounts,USA,In-Store Coupon,59.4,417,s58,c349,prod131
218,3.96,1.2276,3,Price Destroyers,USA,"Daily Paper, Radio",62.26,460,s58,c392,prod131
219,3.96,1.3464,3,Dollar Cutters,USA,Bulk Mail,141.26,495,s73,c427,prod131
220,5.28,1.848,4,Price Cutters,USA,Product Attachment,129.2,563,s82,c495,prod131
221,3.96,1.386,3,Green Light Days,USA,Cash Register Handout,139.19,605,s100,c537,prod131
222,3.96,1.8612,3,Dollar Cutters,USA,TV,66.18,880,s113,c583,prod131
223,2.64,0.8448,2,Coupon Spectacular,USA,TV,51.47,882,s113,c584,prod131
224,3.96,1.5444,3,Price Cutters,USA,Cash Register Handout,145.52,892,s113,c595,prod131
225,2.64,0.8448,2,Coupon Spectacular,USA,TV,51.47,893,s113,c596,prod131
226,5.28,1.6368,4,Super Wallet Savers,USA,"Daily Paper, Radio",109.14,913,s113,c616,prod131
227,6.24,2.7456,4,Super Duper Savers,USA,Daily Paper,91.0,267,s18,c20,prod132
228,3.12,0.9984,2,Price Slashers,USA,Radio,76.98,402,s40,c43,prod132
229,4.68,1.9656,3,Two for One,USA,"Daily Paper, Radio, TV",57.52,411,s58,c62,prod132
230,7.8,2.34,5,Shelf Clearing Days,USA,Sunday Paper,106.1,870,s113,c114,prod132
231,6.24,2.8704,4,Save-It Sale,USA,Radio,144.38,200,s0,c132,prod132
232,4.68,2.1996,3,Price Slashers,USA,"Sunday Paper, Radio, TV",54.11,205,s0,c137,prod132
233,6.24,1.9968,4,High Roller Savings,USA,"Daily Paper, Radio",84.16,216,s0,c147,prod132
234,4.68,2.2932,3,High Roller Savings,USA,"Daily Paper, Radio",84.16,225,s0,c157,prod132
235,6.24,2.4336,4,Bag Stuffers,USA,Product Attachment,82.62,238,s0,c170,prod132
236,4.68,1.5912,3,Price Savers,USA,"Sunday Paper, Radio",111.7,342,s18,c274,prod132
237,3.12,1.3104,2,Big Promo,USA,Cash Register Handout,123.88,370,s40,c302,prod132
238,4.68,2.1996,3,Super Savers,USA,In-Store Coupon,134.66,395,s40,c327,prod132
239,6.24,1.9968,4,Savings Galore,USA,"Sunday Paper, Radio",136.57,412,s58,c344,prod132
240,4.68,1.638,3,Save-It Sale,USA,Daily Paper,81.79,499,s73,c431,prod132
241,4.68,1.5444,3,Price Cutters,USA,Product Attachment,129.2,521,s82,c453,prod132
242,4.68,2.0124,3,Shelf Clearing Days,USA,"Sunday Paper, Radio, TV",101.96,528,s82,c460,prod132
243,3.12,1.3104,2,Save-It Sale,USA,Daily Paper,81.79,543,s82,c475,prod132
244,4.68,2.1996,3,Sales Galore,USA,Bulk Mail,96.55,545,s82,c477,prod132
245,4.68,2.1996,3,High Roller Savings,USA,"Sunday Paper, Radio, TV",95.55,553,s82,c485,prod132
246,4.68,1.638,3,Shelf Clearing Days,USA,"Sunday Paper, Radio, TV",101.96,559,s82,c491,prod132
247,7.8,3.042,5,Money Savers,USA,Cash Register Handout,53.01,590,s100,c522,prod132
248,6.24,2.6208,4,Free For All,USA,"Sunday Paper, Radio",126.24,597,s100,c529,prod132
249,3.12,1.4976,2,Wallet Savers,USA,"Daily Paper, Radio, TV",53.13,612,s100,c544,prod132
250,4.68,2.106,3,Price Savers,USA,In-Store Coupon,81.85,614,s100,c546,prod132
251,4.68,1.5912,3,Green Light Days,USA,Cash Register Handout,139.19,619,s100,c551,prod132
252,3.12,1.4352,2,Weekend Markdown,USA,Daily Paper,140.57,620,s100,c552,prod132
253,3.12,1.56,2,Go For It,USA,Radio,105.74,871,s113,c574,prod132
254,4.68,2.2932,3,Free For All,USA,Radio,140.9,881,s113,c584,prod132
255,3.12,1.2792,2,Shelf Clearing Days,USA,Sunday Paper,106.1,886,s113,c589,prod132
256,5.04,2.1672,4,Super Duper Savers,USA,Daily Paper,100.91,419,s58,c63,prod133
257,3.78,1.2474,3,Price Savers,USA,"Sunday Paper, Radio",80.29,201,s0,c133,prod133
258,5.04,2.3184,4,Super Duper Savers,USA,Sunday Paper,69.65,270,s18,c202,prod133
259,3.78,1.8522,3,Price Slashers,USA,Radio,76.98,348,s40,c280,prod133
260,2.52,1.008,2,Sales Days,USA,Bulk Mail,116.74,420,s58,c352,prod133
261,2.52,1.0332,2,Weekend Markdown,USA,Street Handout,53.37,463,s73,c395,prod133
262,2.52,1.0836,2,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,464,s73,c396,prod133
263,5.04,2.52,4,You Save Days,USA,Bulk Mail,131.81,466,s73,c398,prod133
264,5.04,1.764,4,Price Savers,USA,Cash Register Handout,128.2,513,s82,c445,prod133
265,3.78,1.323,3,Price Cutters,USA,Product Attachment,129.2,514,s82,c446,prod133
266,3.78,1.701,3,Go For It,USA,Product Attachment,119.3,571,s100,c503,prod133
267,3.78,1.7388,3,Two for One,USA,Product Attachment,106.2,874,s113,c577,prod133
268,2.52,1.008,2,Super Savers,USA,"Sunday Paper, Radio, TV",124.56,978,s126,c618,prod133
269,8.79,2.8128,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,235,s0,c7,prod135
270,11.72,4.9224,4,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,261,s0,c15,prod135
271,11.72,3.8676,4,Super Duper Savers,USA,Sunday Paper,69.65,266,s18,c20,prod135
272,5.86,2.051,2,Two Day Sale,USA,Daily Paper,103.65,338,s18,c37,prod135
273,11.72,5.86,4,Sales Galore,USA,Bulk Mail,142.45,391,s40,c57,prod135
274,8.79,2.9886,3,Bag Stuffers,USA,"Daily Paper, Radio",126.62,203,s0,c135,prod135
275,8.79,3.4281,3,Price Slashers,USA,"Sunday Paper, Radio, TV",54.11,204,s0,c136,prod135
276,8.79,2.8128,3,Price Savers,USA,"Sunday Paper, Radio",80.29,209,s0,c141,prod135
277,14.65,6.8855,5,I Cant Believe It Sale,USA,Product Attachment,69.47,221,s0,c153,prod135
278,11.72,5.274,4,Bag Stuffers,USA,Daily Paper,70.32,283,s18,c215,prod135
279,5.86,2.051,2,Tip Top Savings,USA,Street Handout,142.58,318,s18,c250,prod135
280,8.79,2.7249,3,Price Winners,USA,In-Store Coupon,94.63,337,s18,c269,prod135
281,8.79,2.7249,3,Savings Galore,USA,Street Handout,138.53,349,s40,c281,prod135
