,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,customer_id,location_id
27,S,M,4,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,c27,loc18
28,M,M,5,High School Degree,Golden,Manual,N,3,$30K - $50K,5,c28,loc18
29,S,M,5,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,c29,loc18
30,M,M,1,Partial High School,Normal,Skilled Manual,N,0,$10K - $30K,0,c30,loc18
31,M,M,2,Partial High School,Normal,Manual,Y,0,$10K - $30K,2,c31,loc18
32,S,M,1,Partial College,Bronze,Management,Y,1,$30K - $50K,0,c32,loc18
33,M,M,4,High School Degree,Golden,Professional,Y,2,$90K - $110K,4,c33,loc18
34,S,M,2,Bachelors Degree,Bronze,Management,Y,1,$110K - $130K,0,c34,loc18
35,M,F,4,Partial College,Golden,Professional,Y,3,$30K - $50K,4,c35,loc18
36,S,M,0,Partial High School,Bronze,Manual,Y,1,$30K - $50K,0,c36,loc18
37,M,M,1,High School Degree,Bronze,Management,Y,4,$130K - $150K,0,c37,loc18
38,M,M,2,Partial College,Bronze,Management,N,1,$30K - $50K,0,c38,loc18
39,S,F,1,Graduate Degree,Silver,Professional,Y,3,$150K +,0,c39,loc18
40,S,F,0,Bachelors Degree,Normal,Professional,N,4,$50K - $70K,0,c40,loc40
41,S,M,2,Partial College,Bronze,Manual,N,2,$30K - $50K,0,c41,loc40
42,S,F,0,High School Degree,Silver,Manual,N,3,$30K - $50K,0,c42,loc40
43,S,F,1,Bachelors Degree,Bronze,Professional,Y,4,$50K - $70K,0,c43,loc40
44,S,F,4,Bachelors Degree,Bronze,Professional,Y,3,$110K - $130K,0,c44,loc40
45,S,F,1,Partial High School,Silver,Manual,Y,1,$10K - $30K,0,c45,loc40
46,S,M,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,c46,loc40
47,M,F,1,High School Degree,Bronze,Professional,Y,2,$110K - $130K,0,c47,loc40
48,S,F,2,Partial High School,Bronze,Professional,Y,3,$130K - $150K,0,c48,loc40
49,M,M,2,Bachelors Degree,Bronze,Management,N,2,$70K - $90K,1,c49,loc40
50,S,F,2,Bachelors Degree,Golden,Management,N,3,$110K - $130K,0,c50,loc40
51,S,F,3,Partial High School,Bronze,Management,N,2,$70K - $90K,0,c51,loc40
52,S,M,0,High School Degree,Bronze,Professional,Y,1,$70K - $90K,0,c52,loc40
53,M,M,5,High School Degree,Bronze,Manual,Y,3,$30K - $50K,5,c53,loc40
54,S,M,3,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,c54,loc40
55,M,F,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c55,loc40
56,M,F,0,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,c56,loc40
57,S,M,0,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,c57,loc40
58,M,M,4,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,4,c58,loc58
59,M,F,1,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,1,c59,loc58
60,M,F,3,Bachelors Degree,Bronze,Management,N,4,$50K - $70K,2,c61,loc58
61,M,F,2,Bachelors Degree,Bronze,Management,Y,2,$30K - $50K,2,c62,loc58
62,M,F,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,4,c63,loc58
63,M,M,3,Partial High School,Bronze,Manual,N,2,$30K - $50K,1,c64,loc58
64,S,F,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c65,loc58
65,M,M,1,Bachelors Degree,Golden,Management,Y,3,$70K - $90K,1,c66,loc58
66,S,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c67,loc58
67,M,F,3,Bachelors Degree,Bronze,Professional,N,2,$70K - $90K,2,c69,loc58
68,M,M,2,Graduate Degree,Bronze,Management,Y,4,$70K - $90K,1,c70,loc58
69,S,F,2,Partial College,Normal,Manual,N,4,$30K - $50K,0,c71,loc58
70,S,F,4,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,c72,loc58
71,S,F,2,Graduate Degree,Bronze,Professional,Y,3,$110K - $130K,0,c73,loc73
72,S,F,2,Bachelors Degree,Bronze,Management,Y,2,$70K - $90K,0,c74,loc73
73,M,M,4,Partial High School,Normal,Skilled Manual,N,0,$10K - $30K,1,c75,loc73
74,M,M,5,High School Degree,Golden,Skilled Manual,Y,2,$30K - $50K,5,c76,loc73
75,M,M,4,Partial College,Silver,Skilled Manual,N,3,$50K - $70K,1,c77,loc73
76,S,M,3,Bachelors Degree,Bronze,Professional,N,4,$50K - $70K,0,c78,loc73
77,M,M,1,Graduate Degree,Bronze,Professional,Y,4,$130K - $150K,1,c79,loc73
78,S,F,2,High School Degree,Normal,Skilled Manual,Y,0,$10K - $30K,0,c80,loc73
79,M,M,0,High School Degree,Normal,Professional,N,3,$130K - $150K,0,c81,loc73
80,M,F,2,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,1,c82,loc82
81,M,M,0,Graduate Degree,Bronze,Management,Y,2,$70K - $90K,0,c83,loc82
82,S,F,2,Partial College,Bronze,Management,N,4,$30K - $50K,0,c84,loc82
83,S,M,3,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,c85,loc82
84,S,M,1,Partial College,Bronze,Management,N,1,$30K - $50K,0,c86,loc82
85,S,F,1,High School Degree,Silver,Management,Y,4,$150K +,0,c87,loc82
86,M,M,4,Partial College,Bronze,Manual,Y,2,$30K - $50K,1,c88,loc82
87,S,M,3,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,c89,loc82
88,S,M,0,High School Degree,Bronze,Skilled Manual,N,4,$50K - $70K,0,c90,loc82
89,M,F,0,Partial College,Normal,Professional,N,2,$30K - $50K,0,c91,loc82
90,M,M,3,Partial College,Bronze,Clerical,N,4,$30K - $50K,2,c92,loc82
91,S,F,1,Bachelors Degree,Golden,Professional,Y,1,$110K - $130K,0,c93,loc82
92,S,M,4,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,c94,loc82
93,S,F,5,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,c95,loc82
94,M,M,0,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,c96,loc82
95,S,F,1,High School Degree,Bronze,Professional,Y,3,$110K - $130K,0,c97,loc82
96,M,F,4,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,3,c98,loc82
97,M,M,4,Partial High School,Normal,Manual,Y,1,$10K - $30K,4,c99,loc82
98,M,F,2,High School Degree,Bronze,Management,N,3,$110K - $130K,2,c100,loc100
99,M,M,2,Partial High School,Normal,Manual,Y,1,$10K - $30K,1,c101,loc100
100,S,M,4,Bachelors Degree,Bronze,Management,N,4,$50K - $70K,0,c102,loc100
101,M,F,1,High School Degree,Normal,Management,Y,2,$70K - $90K,0,c103,loc100
102,S,M,2,Partial College,Bronze,Skilled Manual,N,1,$30K - $50K,0,c104,loc100
103,S,M,0,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,c105,loc100
104,M,F,4,Partial College,Bronze,Skilled Manual,Y,3,$30K - $50K,4,c106,loc100
105,S,F,3,Bachelors Degree,Bronze,Management,Y,3,$50K - $70K,0,c107,loc100
106,S,F,2,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,c108,loc100
107,S,M,4,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c109,loc100
108,S,F,1,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c110,loc110
109,M,F,4,High School Degree,Bronze,Manual,Y,4,$30K - $50K,4,c111,loc110
110,M,M,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c112,loc110
111,S,M,2,Bachelors Degree,Normal,Management,Y,0,$10K - $30K,0,c113,loc113
112,S,F,3,Partial College,Bronze,Clerical,N,4,$30K - $50K,0,c114,loc113
113,S,F,4,High School Degree,Golden,Management,Y,2,$70K - $90K,0,c115,loc113
114,S,F,2,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,c116,loc113
115,S,M,2,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,c117,loc113
116,S,M,5,Partial College,Bronze,Manual,N,3,$30K - $50K,0,c119,loc113
117,M,M,0,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,c120,loc113
118,M,M,3,High School Degree,Bronze,Manual,N,4,$30K - $50K,1,c121,loc113
119,M,M,0,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,c122,loc113
120,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,c123,loc113
121,S,M,4,Bachelors Degree,Bronze,Management,Y,4,$50K - $70K,0,c124,loc113
122,M,M,2,Partial High School,Bronze,Manual,Y,3,$30K - $50K,1,c125,loc113
123,M,F,4,Bachelors Degree,Silver,Professional,Y,3,$70K - $90K,3,c126,loc126
124,M,M,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c128,loc0
125,S,F,4,Partial High School,Bronze,Professional,Y,3,$90K - $110K,0,c130,loc0
126,M,F,1,Bachelors Degree,Bronze,Management,N,1,$50K - $70K,1,c131,loc0
127,M,M,5,Partial High School,Golden,Skilled Manual,Y,0,$10K - $30K,1,c132,loc0
128,S,M,2,Partial College,Bronze,Professional,N,3,$30K - $50K,0,c133,loc0
129,M,M,3,High School Degree,Bronze,Management,N,4,$150K +,0,c134,loc0
130,M,M,3,High School Degree,Golden,Professional,N,3,$130K - $150K,3,c135,loc0
131,S,M,1,High School Degree,Bronze,Professional,Y,1,$130K - $150K,0,c136,loc0
132,M,F,5,High School Degree,Bronze,Manual,Y,4,$30K - $50K,3,c137,loc0
133,M,F,0,Partial High School,Silver,Management,N,2,$110K - $130K,0,c138,loc0
134,S,M,3,Bachelors Degree,Bronze,Professional,Y,1,$70K - $90K,0,c139,loc0
135,M,F,2,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,2,c140,loc0
136,S,M,5,Bachelors Degree,Bronze,Management,N,2,$50K - $70K,0,c141,loc0
137,S,F,4,Bachelors Degree,Golden,Professional,N,2,$50K - $70K,0,c144,loc0
138,S,M,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c145,loc0
139,S,F,2,Bachelors Degree,Bronze,Management,Y,2,$50K - $70K,0,c146,loc0
140,M,M,4,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,c147,loc0
141,M,M,4,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,4,c149,loc0
142,M,M,3,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,2,c150,loc0
143,S,F,0,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,c151,loc0
144,M,M,4,Partial College,Bronze,Professional,N,2,$30K - $50K,1,c152,loc0
145,S,F,3,Bachelors Degree,Bronze,Management,N,1,$70K - $90K,0,c153,loc0
146,S,M,1,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,c154,loc0
147,S,F,3,High School Degree,Bronze,Professional,Y,1,$90K - $110K,0,c155,loc0
148,M,M,1,High School Degree,Normal,Manual,N,4,$30K - $50K,0,c156,loc0
149,S,F,2,High School Degree,Bronze,Manual,Y,1,$30K - $50K,0,c157,loc0
150,M,F,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,c158,loc0
151,M,M,0,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,c159,loc0
152,M,M,2,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,2,c160,loc0
153,M,F,1,Partial High School,Bronze,Skilled Manual,Y,4,$30K - $50K,1,c161,loc0
154,S,M,4,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,0,c162,loc0
155,M,F,1,Bachelors Degree,Silver,Professional,Y,2,$50K - $70K,1,c163,loc0
156,S,M,4,Partial High School,Bronze,Management,N,2,$130K - $150K,0,c166,loc0
157,M,M,1,Graduate Degree,Bronze,Management,N,3,$90K - $110K,1,c168,loc0
158,S,F,2,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,c169,loc0
159,M,F,0,Bachelors Degree,Bronze,Management,Y,2,$70K - $90K,0,c170,loc0
160,M,F,1,Bachelors Degree,Bronze,Professional,Y,3,$90K - $110K,1,c171,loc0
161,S,F,1,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,c172,loc0
162,S,M,3,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,c173,loc0
163,S,M,2,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,c174,loc0
164,M,F,1,Partial College,Silver,Clerical,N,3,$30K - $50K,1,c175,loc0
165,M,F,1,Partial College,Bronze,Manual,Y,2,$30K - $50K,0,c178,loc0
166,S,M,4,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,c179,loc0
167,S,M,1,High School Degree,Normal,Manual,Y,2,$10K - $30K,0,c180,loc0
168,S,M,4,Partial College,Golden,Professional,Y,3,$70K - $90K,0,c181,loc0
169,M,F,1,Partial College,Bronze,Professional,N,3,$110K - $130K,1,c182,loc0
170,M,M,1,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,1,c183,loc0
171,M,M,1,Bachelors Degree,Golden,Professional,Y,4,$150K +,1,c184,loc0
172,S,M,1,Partial High School,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c185,loc0
173,S,M,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c186,loc0
174,M,F,2,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,1,c187,loc0
175,S,F,4,High School Degree,Normal,Skilled Manual,N,4,$30K - $50K,0,c188,loc0
176,S,M,4,High School Degree,Bronze,Professional,Y,2,$110K - $130K,0,c189,loc0
177,S,M,3,High School Degree,Bronze,Manual,N,4,$30K - $50K,0,c191,loc0
178,S,M,3,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,0,c192,loc0
179,M,M,3,Partial High School,Bronze,Manual,N,2,$10K - $30K,2,c194,loc0
180,M,F,4,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,c195,loc0
181,S,F,2,Partial High School,Bronze,Professional,Y,1,$70K - $90K,0,c196,loc18
182,M,F,1,Partial High School,Silver,Manual,N,1,$10K - $30K,1,c200,loc18
183,M,M,0,Partial High School,Bronze,Management,Y,4,$90K - $110K,0,c202,loc18
184,S,M,5,Partial High School,Bronze,Professional,Y,3,$130K - $150K,0,c204,loc18
185,M,M,3,Bachelors Degree,Bronze,Professional,Y,3,$90K - $110K,1,c205,loc18
186,S,F,5,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,c207,loc18
187,M,M,4,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,1,c208,loc18
188,M,F,3,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,3,c209,loc18
189,M,M,3,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c210,loc18
190,S,F,1,Partial College,Bronze,Skilled Manual,N,3,$50K - $70K,0,c211,loc18
191,S,F,4,Partial High School,Bronze,Manual,Y,3,$30K - $50K,0,c212,loc18
192,S,F,1,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,c214,loc18
193,S,F,3,High School Degree,Silver,Skilled Manual,N,1,$30K - $50K,0,c215,loc18
194,S,M,3,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c216,loc18
195,S,F,4,High School Degree,Silver,Manual,Y,2,$30K - $50K,0,c217,loc18
196,M,M,3,High School Degree,Normal,Professional,Y,3,$130K - $150K,0,c218,loc18
197,M,F,3,Partial College,Golden,Professional,Y,4,$30K - $50K,3,c219,loc18
198,S,M,3,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c220,loc18
199,S,F,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c221,loc18
200,S,F,1,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,c222,loc18
201,S,F,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,c223,loc18
202,S,M,2,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,c224,loc18
203,M,F,1,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,c226,loc18
204,M,M,3,Bachelors Degree,Bronze,Professional,Y,3,$110K - $130K,2,c228,loc18
205,S,F,2,Bachelors Degree,Bronze,Professional,Y,3,$30K - $50K,0,c230,loc18
206,S,F,5,High School Degree,Normal,Manual,N,4,$50K - $70K,0,c231,loc18
207,S,F,1,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c232,loc18
208,S,F,2,Partial College,Bronze,Management,N,3,$30K - $50K,0,c234,loc18
209,S,M,3,High School Degree,Normal,Skilled Manual,N,2,$10K - $30K,0,c235,loc18
210,M,M,4,Partial High School,Normal,Manual,Y,0,$10K - $30K,3,c236,loc18
211,S,M,1,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,0,c237,loc18
212,M,F,2,Partial College,Bronze,Management,Y,3,$70K - $90K,1,c238,loc18
213,M,M,3,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c240,loc18
214,S,M,4,High School Degree,Silver,Skilled Manual,N,3,$30K - $50K,0,c241,loc18
215,M,M,5,Bachelors Degree,Normal,Management,Y,4,$50K - $70K,3,c244,loc18
216,M,M,5,High School Degree,Golden,Manual,Y,2,$30K - $50K,5,c245,loc18
217,M,M,5,Partial High School,Normal,Manual,Y,0,$10K - $30K,2,c246,loc18
218,M,F,5,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,1,c247,loc18
219,M,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,1,c248,loc18
220,M,F,3,Partial College,Bronze,Management,Y,3,$130K - $150K,1,c249,loc18
221,S,F,1,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c250,loc18
222,M,M,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,2,c251,loc18
223,M,F,1,Partial College,Bronze,Professional,Y,2,$30K - $50K,1,c252,loc18
224,S,F,3,High School Degree,Normal,Manual,N,0,$10K - $30K,0,c253,loc18
225,S,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c254,loc18
226,M,F,0,Bachelors Degree,Bronze,Professional,N,1,$70K - $90K,0,c256,loc18
227,S,F,1,Bachelors Degree,Bronze,Management,Y,1,$110K - $130K,0,c257,loc18
228,M,F,4,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,2,c258,loc18
229,M,M,4,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,c259,loc18
230,M,M,4,Bachelors Degree,Golden,Management,Y,2,$50K - $70K,4,c261,loc18
231,S,F,3,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c262,loc18
232,M,F,3,Partial High School,Bronze,Manual,Y,1,$10K - $30K,3,c265,loc18
233,S,F,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c267,loc18
234,S,F,5,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c269,loc18
235,M,F,2,Partial High School,Bronze,Professional,Y,2,$110K - $130K,2,c271,loc18
236,M,M,1,Graduate Degree,Bronze,Professional,N,3,$110K - $130K,1,c272,loc18
237,M,F,2,Graduate Degree,Bronze,Professional,Y,2,$70K - $90K,1,c273,loc18
238,S,F,2,High School Degree,Bronze,Professional,N,1,$70K - $90K,0,c274,loc18
239,S,F,5,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,c275,loc18
240,S,F,2,Partial High School,Golden,Skilled Manual,Y,1,$30K - $50K,0,c277,loc18
241,M,M,2,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,2,c279,loc40
242,S,M,3,Partial High School,Bronze,Management,N,1,$70K - $90K,0,c280,loc40
243,M,F,2,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,c281,loc40
244,M,F,0,Partial College,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c282,loc40
245,M,M,1,Partial College,Bronze,Clerical,N,2,$30K - $50K,1,c283,loc40
246,M,F,4,High School Degree,Golden,Manual,Y,2,$30K - $50K,4,c284,loc40
247,S,M,4,High School Degree,Silver,Professional,Y,3,$90K - $110K,0,c285,loc40
248,S,M,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c286,loc40
249,M,F,2,Partial High School,Golden,Manual,Y,2,$10K - $30K,1,c287,loc40
250,S,F,4,Partial College,Bronze,Clerical,Y,3,$30K - $50K,0,c288,loc40
251,S,M,0,High School Degree,Bronze,Management,Y,3,$110K - $130K,0,c289,loc40
252,S,M,1,Partial High School,Golden,Manual,N,1,$10K - $30K,0,c290,loc40
253,M,M,1,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c291,loc40
254,S,M,2,Partial College,Bronze,Clerical,N,3,$30K - $50K,0,c293,loc40
255,S,M,2,Partial College,Normal,Management,Y,3,$30K - $50K,0,c294,loc40
256,M,F,2,High School Degree,Bronze,Professional,N,4,$110K - $130K,2,c296,loc40
257,S,M,2,Bachelors Degree,Silver,Professional,Y,3,$150K +,0,c297,loc40
258,S,F,1,Bachelors Degree,Normal,Professional,Y,1,$10K - $30K,0,c298,loc40
259,M,F,1,Graduate Degree,Bronze,Professional,Y,3,$70K - $90K,0,c299,loc40
260,S,F,0,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c300,loc40
261,S,F,5,Bachelors Degree,Bronze,Management,Y,2,$50K - $70K,0,c301,loc40
262,M,F,2,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,2,c302,loc40
263,M,M,4,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,1,c303,loc40
264,S,M,2,Bachelors Degree,Bronze,Professional,Y,2,$130K - $150K,0,c304,loc40
265,S,M,2,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c306,loc40
266,M,F,4,Partial High School,Bronze,Management,Y,2,$110K - $130K,1,c307,loc40
267,M,M,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,2,c308,loc40
268,S,M,4,Bachelors Degree,Golden,Professional,N,2,$50K - $70K,0,c310,loc40
269,S,F,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c311,loc40
270,M,M,2,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c312,loc40
271,S,F,3,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,c313,loc40
272,M,F,0,High School Degree,Bronze,Manual,N,2,$50K - $70K,0,c314,loc40
273,S,M,0,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,c315,loc40
274,M,M,5,High School Degree,Silver,Skilled Manual,Y,0,$10K - $30K,5,c316,loc40
275,M,M,3,Partial High School,Golden,Manual,Y,1,$30K - $50K,2,c317,loc40
276,M,M,3,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,2,c318,loc40
277,M,M,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,1,c319,loc40
278,M,M,1,Bachelors Degree,Bronze,Professional,Y,1,$70K - $90K,1,c320,loc40
279,S,M,3,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,c321,loc40
280,S,M,0,Bachelors Degree,Bronze,Management,N,2,$30K - $50K,0,c322,loc40
281,S,M,3,Partial College,Golden,Professional,N,4,$30K - $50K,0,c324,loc40
282,M,F,2,High School Degree,Bronze,Manual,N,3,$50K - $70K,2,c325,loc40
283,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,c326,loc40
284,S,F,0,Partial College,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c327,loc40
285,M,M,1,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,c328,loc40
286,M,M,4,Partial High School,Golden,Manual,Y,3,$50K - $70K,3,c329,loc40
287,M,F,0,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,c330,loc40
288,M,F,1,Partial High School,Bronze,Skilled Manual,N,4,$30K - $50K,1,c331,loc40
289,M,F,4,High School Degree,Normal,Manual,Y,3,$30K - $50K,3,c332,loc40
290,M,F,1,High School Degree,Bronze,Professional,Y,2,$130K - $150K,0,c333,loc40
291,M,M,3,High School Degree,Normal,Manual,Y,3,$30K - $50K,2,c335,loc40
292,M,F,3,Partial College,Golden,Skilled Manual,Y,3,$30K - $50K,1,c336,loc40
293,M,M,5,Partial High School,Normal,Manual,N,1,$10K - $30K,5,c337,loc40
294,M,M,0,Partial High School,Silver,Skilled Manual,Y,1,$30K - $50K,0,c338,loc40
295,S,F,0,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,c340,loc58
296,M,M,3,High School Degree,Golden,Manual,Y,2,$30K - $50K,3,c341,loc58
297,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,c344,loc58
298,S,F,2,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c345,loc58
299,S,M,4,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,c346,loc58
300,M,F,3,Partial College,Golden,Professional,Y,3,$30K - $50K,3,c347,loc58
301,S,F,5,High School Degree,Golden,Skilled Manual,Y,4,$30K - $50K,0,c349,loc58
302,M,M,2,Partial High School,Bronze,Manual,N,4,$50K - $70K,1,c350,loc58
