"store_city","store_state","store_type","store_sales_in_millions"
"Acapulco","Guerrero","Supermarket",1.26
"Bellingham","WA","Small Grocery",1.26
"Beverly Hills","CA","Gourmet Supermarket",1.26
"Bremerton","WA","Supermarket",1.26
"Camacho","Zacatecas","Gourmet Supermarket",1.26
"Guadalajara","Jalisco","Small Grocery",1.26
"Hidalgo","Zacatecas","Deluxe Supermarket",1.26
"Hidalgo","Zacatecas","Mid-Size Grocery",1.26
"Los Angeles","CA","Supermarket",1.26
"Merida","Yucatan","Deluxe Supermarket",1.26
"Mexico City","DF","Mid-Size Grocery",1.26
"Orizaba","Veracruz","Supermarket",1.26
"Portland","OR","Supermarket",1.26
"Salem","OR","Deluxe Supermarket",1.26
"San Francisco","CA","Small Grocery",1.26
"Seattle","WA","Supermarket",1.26
"Spokane","WA","Supermarket",1.26
"Tacoma","WA","Deluxe Supermarket",1.26
"Vancouver","BC","Deluxe Supermarket",1.26
"Victoria","BC","Mid-Size Grocery",1.26
"Bellingham","WA","Small Grocery",1.27
"Acapulco","Guerrero","Supermarket",1.28
"Bellingham","WA","Small Grocery",1.28
"Beverly Hills","CA","Gourmet Supermarket",1.28
"Bremerton","WA","Supermarket",1.28
"Camacho","Zacatecas","Gourmet Supermarket",1.28
"Guadalajara","Jalisco","Small Grocery",1.28
"Hidalgo","Zacatecas","Deluxe Supermarket",1.28
"Los Angeles","CA","Supermarket",1.28
"Mexico City","DF","Mid-Size Grocery",1.28
"Portland","OR","Supermarket",1.28
"Salem","OR","Deluxe Supermarket",1.28
"San Francisco","CA","Small Grocery",1.28
"Seattle","WA","Supermarket",1.28
"Spokane","WA","Supermarket",1.28
"Tacoma","WA","Deluxe Supermarket",1.28
"Vancouver","BC","Deluxe Supermarket",1.28
"Victoria","BC","Mid-Size Grocery",1.28
"San Francisco","CA","Small Grocery",1.29
"Acapulco","Guerrero","Supermarket",1.3
"Bellingham","WA","Small Grocery",1.3
"Beverly Hills","CA","Gourmet Supermarket",1.3
"Bremerton","WA","Supermarket",1.3
"Camacho","Zacatecas","Gourmet Supermarket",1.3
"Guadalajara","Jalisco","Small Grocery",1.3
"Hidalgo","Zacatecas","Deluxe Supermarket",1.3
"Hidalgo","Zacatecas","Mid-Size Grocery",1.3
"Los Angeles","CA","Supermarket",1.3
"Merida","Yucatan","Deluxe Supermarket",1.3
"Mexico City","DF","Mid-Size Grocery",1.3
"Orizaba","Veracruz","Supermarket",1.3
"Portland","OR","Supermarket",1.3
"Salem","OR","Deluxe Supermarket",1.3
"San Francisco","CA","Small Grocery",1.3
"Spokane","WA","Supermarket",1.3
"Tacoma","WA","Deluxe Supermarket",1.3
"Bellingham","WA","Small Grocery",1.31
"Guadalajara","Jalisco","Small Grocery",1.31
"San Francisco","CA","Small Grocery",1.31
"Bellingham","WA","Small Grocery",1.32
"Beverly Hills","CA","Gourmet Supermarket",1.32
"Bremerton","WA","Supermarket",1.32
"Camacho","Zacatecas","Gourmet Supermarket",1.32
"Guadalajara","Jalisco","Small Grocery",1.32
"Hidalgo","Zacatecas","Deluxe Supermarket",1.32
"Los Angeles","CA","Supermarket",1.32
"Merida","Yucatan","Deluxe Supermarket",1.32
"Orizaba","Veracruz","Supermarket",1.32
"Portland","OR","Supermarket",1.32
"Salem","OR","Deluxe Supermarket",1.32
"San Francisco","CA","Small Grocery",1.32
"Seattle","WA","Supermarket",1.32
"Spokane","WA","Supermarket",1.32
"Tacoma","WA","Deluxe Supermarket",1.32
"Vancouver","BC","Deluxe Supermarket",1.32
"Bellingham","WA","Small Grocery",1.33
"Guadalajara","Jalisco","Small Grocery",1.33
"San Francisco","CA","Small Grocery",1.33
"Acapulco","Guerrero","Supermarket",1.34
"Bellingham","WA","Small Grocery",1.34
"Beverly Hills","CA","Gourmet Supermarket",1.34
"Bremerton","WA","Supermarket",1.34
"Camacho","Zacatecas","Gourmet Supermarket",1.34
"Guadalajara","Jalisco","Small Grocery",1.34
"Hidalgo","Zacatecas","Deluxe Supermarket",1.34
"Los Angeles","CA","Supermarket",1.34
"Merida","Yucatan","Deluxe Supermarket",1.34
"Orizaba","Veracruz","Supermarket",1.34
"Portland","OR","Supermarket",1.34
"Salem","OR","Deluxe Supermarket",1.34
"San Francisco","CA","Small Grocery",1.34
"Spokane","WA","Supermarket",1.34
"Tacoma","WA","Deluxe Supermarket",1.34
"Vancouver","BC","Deluxe Supermarket",1.34
"Victoria","BC","Mid-Size Grocery",1.34
"Bellingham","WA","Small Grocery",1.35
"Guadalajara","Jalisco","Small Grocery",1.35
"San Francisco","CA","Small Grocery",1.35
"Acapulco","Guerrero","Supermarket",1.36
"Bellingham","WA","Small Grocery",1.36
"Beverly Hills","CA","Gourmet Supermarket",1.36
"Camacho","Zacatecas","Gourmet Supermarket",1.36
"Guadalajara","Jalisco","Small Grocery",1.36
"Hidalgo","Zacatecas","Deluxe Supermarket",1.36
"Los Angeles","CA","Supermarket",1.36
"Merida","Yucatan","Deluxe Supermarket",1.36
"Mexico City","DF","Mid-Size Grocery",1.36
"Orizaba","Veracruz","Supermarket",1.36
"Portland","OR","Supermarket",1.36
"Salem","OR","Deluxe Supermarket",1.36
"San Francisco","CA","Small Grocery",1.36
"Seattle","WA","Supermarket",1.36
"Spokane","WA","Supermarket",1.36
"Tacoma","WA","Deluxe Supermarket",1.36
"Vancouver","BC","Deluxe Supermarket",1.36
"San Francisco","CA","Small Grocery",1.37
"Acapulco","Guerrero","Supermarket",1.38
"Bellingham","WA","Small Grocery",1.38
"Beverly Hills","CA","Gourmet Supermarket",1.38
"Bremerton","WA","Supermarket",1.38
"Guadalajara","Jalisco","Small Grocery",1.38
"Hidalgo","Zacatecas","Mid-Size Grocery",1.38
"Los Angeles","CA","Supermarket",1.38
"Mexico City","DF","Mid-Size Grocery",1.38
"Orizaba","Veracruz","Supermarket",1.38
"Portland","OR","Supermarket",1.38
"Salem","OR","Deluxe Supermarket",1.38
"San Francisco","CA","Small Grocery",1.38
"Seattle","WA","Supermarket",1.38
"Spokane","WA","Supermarket",1.38
"Tacoma","WA","Deluxe Supermarket",1.38
"Vancouver","BC","Deluxe Supermarket",1.38
"Acapulco","Guerrero","Supermarket",1.4
"Bellingham","WA","Small Grocery",1.4
"Beverly Hills","CA","Gourmet Supermarket",1.4
"Bremerton","WA","Supermarket",1.4
"Camacho","Zacatecas","Gourmet Supermarket",1.4
"Guadalajara","Jalisco","Small Grocery",1.4
"Hidalgo","Zacatecas","Deluxe Supermarket",1.4
"Los Angeles","CA","Supermarket",1.4
"Merida","Yucatan","Deluxe Supermarket",1.4
"Mexico City","DF","Mid-Size Grocery",1.4
"Orizaba","Veracruz","Supermarket",1.4
"Portland","OR","Supermarket",1.4
"Salem","OR","Deluxe Supermarket",1.4
"San Francisco","CA","Small Grocery",1.4
"Seattle","WA","Supermarket",1.4
"Spokane","WA","Supermarket",1.4
"Tacoma","WA","Deluxe Supermarket",1.4
"Vancouver","BC","Deluxe Supermarket",1.4
"Bellingham","WA","Small Grocery",1.41
"Bellingham","WA","Small Grocery",1.42
"Beverly Hills","CA","Gourmet Supermarket",1.42
"Bremerton","WA","Supermarket",1.42
"Camacho","Zacatecas","Gourmet Supermarket",1.42
"Guadalajara","Jalisco","Small Grocery",1.42
"Hidalgo","Zacatecas","Mid-Size Grocery",1.42
"Merida","Yucatan","Deluxe Supermarket",1.42
"Orizaba","Veracruz","Supermarket",1.42
"Portland","OR","Supermarket",1.42
"Salem","OR","Deluxe Supermarket",1.42
"San Francisco","CA","Small Grocery",1.42
"Seattle","WA","Supermarket",1.42
"Spokane","WA","Supermarket",1.42
"Tacoma","WA","Deluxe Supermarket",1.42
"Vancouver","BC","Deluxe Supermarket",1.42
"Victoria","BC","Mid-Size Grocery",1.42
"Bellingham","WA","Small Grocery",1.43
"Guadalajara","Jalisco","Small Grocery",1.43
"Acapulco","Guerrero","Supermarket",1.44
"Bellingham","WA","Small Grocery",1.44
"Beverly Hills","CA","Gourmet Supermarket",1.44
"Bremerton","WA","Supermarket",1.44
"Camacho","Zacatecas","Gourmet Supermarket",1.44
"Guadalajara","Jalisco","Small Grocery",1.44
"Hidalgo","Zacatecas","Deluxe Supermarket",1.44
"Los Angeles","CA","Supermarket",1.44
"Merida","Yucatan","Deluxe Supermarket",1.44
"Portland","OR","Supermarket",1.44
"Salem","OR","Deluxe Supermarket",1.44
"San Francisco","CA","Small Grocery",1.44
"Seattle","WA","Supermarket",1.44
"Spokane","WA","Supermarket",1.44
"Tacoma","WA","Deluxe Supermarket",1.44
"Vancouver","BC","Deluxe Supermarket",1.44
"Bellingham","WA","Small Grocery",1.45
"Guadalajara","Jalisco","Small Grocery",1.45
"San Francisco","CA","Small Grocery",1.45
"Acapulco","Guerrero","Supermarket",1.46
"Bellingham","WA","Small Grocery",1.46
"Beverly Hills","CA","Gourmet Supermarket",1.46
"Bremerton","WA","Supermarket",1.46
"Guadalajara","Jalisco","Small Grocery",1.46
"Hidalgo","Zacatecas","Deluxe Supermarket",1.46
"Los Angeles","CA","Supermarket",1.46
"Merida","Yucatan","Deluxe Supermarket",1.46
"Mexico City","DF","Mid-Size Grocery",1.46
"Orizaba","Veracruz","Supermarket",1.46
"Portland","OR","Supermarket",1.46
"Salem","OR","Deluxe Supermarket",1.46
"San Francisco","CA","Small Grocery",1.46
"Seattle","WA","Supermarket",1.46
"Spokane","WA","Supermarket",1.46
"Tacoma","WA","Deluxe Supermarket",1.46
"Vancouver","BC","Deluxe Supermarket",1.46
"Bellingham","WA","Small Grocery",1.47
"San Francisco","CA","Small Grocery",1.47
"Acapulco","Guerrero","Supermarket",1.48
"Bellingham","WA","Small Grocery",1.48
"Beverly Hills","CA","Gourmet Supermarket",1.48
"Camacho","Zacatecas","Gourmet Supermarket",1.48
"Guadalajara","Jalisco","Small Grocery",1.48
"Hidalgo","Zacatecas","Deluxe Supermarket",1.48
"Los Angeles","CA","Supermarket",1.48
"Merida","Yucatan","Deluxe Supermarket",1.48
"Mexico City","DF","Mid-Size Grocery",1.48
"Orizaba","Veracruz","Supermarket",1.48
"Portland","OR","Supermarket",1.48
"Salem","OR","Deluxe Supermarket",1.48
"San Francisco","CA","Small Grocery",1.48
"Seattle","WA","Supermarket",1.48
"Spokane","WA","Supermarket",1.48
"Tacoma","WA","Deluxe Supermarket",1.48
"Vancouver","BC","Deluxe Supermarket",1.48
"Victoria","BC","Mid-Size Grocery",1.48
"Bellingham","WA","Small Grocery",1.49
"Guadalajara","Jalisco","Small Grocery",1.49
"San Francisco","CA","Small Grocery",1.49
"Acapulco","Guerrero","Supermarket",1.5
"Bellingham","WA","Small Grocery",1.5
"Beverly Hills","CA","Gourmet Supermarket",1.5
"Bremerton","WA","Supermarket",1.5
"Camacho","Zacatecas","Gourmet Supermarket",1.5
"Hidalgo","Zacatecas","Deluxe Supermarket",1.5
"Los Angeles","CA","Supermarket",1.5
"Merida","Yucatan","Deluxe Supermarket",1.5
"Orizaba","Veracruz","Supermarket",1.5
"Portland","OR","Supermarket",1.5
"Salem","OR","Deluxe Supermarket",1.5
"Seattle","WA","Supermarket",1.5
"Spokane","WA","Supermarket",1.5
"Tacoma","WA","Deluxe Supermarket",1.5
"Vancouver","BC","Deluxe Supermarket",1.5
"Bellingham","WA","Small Grocery",1.51
"Acapulco","Guerrero","Supermarket",1.52
"Bellingham","WA","Small Grocery",1.52
"Beverly Hills","CA","Gourmet Supermarket",1.52
"Bremerton","WA","Supermarket",1.52
"Camacho","Zacatecas","Gourmet Supermarket",1.52
"Guadalajara","Jalisco","Small Grocery",1.52
"Hidalgo","Zacatecas","Mid-Size Grocery",1.52
"Los Angeles","CA","Supermarket",1.52
"Merida","Yucatan","Deluxe Supermarket",1.52
"Orizaba","Veracruz","Supermarket",1.52
"Portland","OR","Supermarket",1.52
"Salem","OR","Deluxe Supermarket",1.52
"Seattle","WA","Supermarket",1.52
"Spokane","WA","Supermarket",1.52
"Tacoma","WA","Deluxe Supermarket",1.52
"Vancouver","BC","Deluxe Supermarket",1.52
"Acapulco","Guerrero","Supermarket",1.53
"Beverly Hills","CA","Gourmet Supermarket",1.53
"Bremerton","WA","Supermarket",1.53
"Camacho","Zacatecas","Gourmet Supermarket",1.53
"Hidalgo","Zacatecas","Deluxe Supermarket",1.53
"Los Angeles","CA","Supermarket",1.53
"Merida","Yucatan","Deluxe Supermarket",1.53
"Mexico City","DF","Mid-Size Grocery",1.53
"Orizaba","Veracruz","Supermarket",1.53
"Portland","OR","Supermarket",1.53
"Salem","OR","Deluxe Supermarket",1.53
"San Francisco","CA","Small Grocery",1.53
"Seattle","WA","Supermarket",1.53
"Spokane","WA","Supermarket",1.53
"Tacoma","WA","Deluxe Supermarket",1.53
"Vancouver","BC","Deluxe Supermarket",1.53
"Victoria","BC","Mid-Size Grocery",1.53
"Bellingham","WA","Small Grocery",1.54
"Beverly Hills","CA","Gourmet Supermarket",1.54
"Bremerton","WA","Supermarket",1.54
"Guadalajara","Jalisco","Small Grocery",1.54
"Hidalgo","Zacatecas","Deluxe Supermarket",1.54
"Hidalgo","Zacatecas","Mid-Size Grocery",1.54
"Los Angeles","CA","Supermarket",1.54
"Merida","Yucatan","Deluxe Supermarket",1.54
"Mexico City","DF","Mid-Size Grocery",1.54
"Orizaba","Veracruz","Supermarket",1.54
"Portland","OR","Supermarket",1.54
"Salem","OR","Deluxe Supermarket",1.54
"San Francisco","CA","Small Grocery",1.54
"Seattle","WA","Supermarket",1.54
"Spokane","WA","Supermarket",1.54
"Tacoma","WA","Deluxe Supermarket",1.54
"Vancouver","BC","Deluxe Supermarket",1.54
"Victoria","BC","Mid-Size Grocery",1.54
"Guadalajara","Jalisco","Small Grocery",1.55
"San Francisco","CA","Small Grocery",1.55
"Bellingham","WA","Small Grocery",1.56
"Beverly Hills","CA","Gourmet Supermarket",1.56
"Bremerton","WA","Supermarket",1.56
"Camacho","Zacatecas","Gourmet Supermarket",1.56
"Hidalgo","Zacatecas","Deluxe Supermarket",1.56
"Hidalgo","Zacatecas","Mid-Size Grocery",1.56
"Los Angeles","CA","Supermarket",1.56
"Merida","Yucatan","Deluxe Supermarket",1.56
"Mexico City","DF","Mid-Size Grocery",1.56
"Orizaba","Veracruz","Supermarket",1.56
"Portland","OR","Supermarket",1.56
