promotion_name,media_type,cost,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions
Green Light Special,In-Store Coupon,123.02,7.36,2.3552,4
Green Light Special,In-Store Coupon,123.02,5.52,2.7048,3
You Save Days,Sunday Paper,51.27,4.08,1.632,3
Shelf Clearing Days,In-Store Coupon,109.21,6.48,2.0088,2
Super Duper Savers,Cash Register Handout,129.5,6.56,2.4928,4
Price Destroyers,"Daily Paper, Radio, TV",58.27,5.61,2.5245,3
Price Destroyers,"Daily Paper, Radio, TV",58.27,5.61,1.9074,3
Price Destroyers,"Sunday Paper, Radio",115.05,2.72,1.36,2
Money Savers,"Sunday Paper, Radio, TV",82.61,9.72,3.7908,3
Super Duper Savers,Cash Register Handout,129.5,8.2,2.542,5
Price Cutters,Cash Register Handout,145.52,6.56,2.4928,4
Dimes Off,Bulk Mail,84.97,2.72,1.3328,2
Cash Register Lottery,In-Store Coupon,95.78,11.96,5.5016,4
Price Savers,"Sunday Paper, Radio",80.29,6.54,2.7468,2
Price Savers,"Sunday Paper, Radio",80.29,14.95,4.6345,5
Bag Stuffers,"Daily Paper, Radio",126.62,2.79,1.3671,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,3.96,1.584,3
Save-It Sale,Radio,144.38,6.24,2.8704,4
Price Savers,"Sunday Paper, Radio",80.29,3.78,1.2474,3
Bag Stuffers,"Daily Paper, Radio",126.62,1.86,0.7812,2
Bag Stuffers,"Daily Paper, Radio",126.62,8.79,2.9886,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,8.79,3.4281,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,4.68,2.1996,3
I Cant Believe It Sale,Product Attachment,69.47,3.88,1.3968,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,5.61,1.9074,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,11.22,3.7026,3
Price Savers,"Sunday Paper, Radio",80.29,8.79,2.8128,3
Cash Register Lottery,"Daily Paper, Radio",59.86,6.54,2.8776,2
Bag Stuffers,"Daily Paper, Radio",126.62,2.84,1.3916,2
Double Down Sale,Radio,50.79,9.81,4.2183,3
Bag Stuffers,"Daily Paper, Radio",126.62,5.85,2.808,3
I Cant Believe It Sale,Product Attachment,69.47,7.8,2.886,4
High Roller Savings,"Daily Paper, Radio",84.16,9.81,3.7278,3
High Roller Savings,"Daily Paper, Radio",84.16,6.24,1.9968,4
I Cant Believe It Sale,Product Attachment,69.47,2.79,1.3671,3
High Roller Savings,"Daily Paper, Radio",84.16,15.44,6.4848,4
Bag Stuffers,"Daily Paper, Radio",126.62,1.53,0.5661,3
I Cant Believe It Sale,Product Attachment,69.47,13.08,5.3628,4
I Cant Believe It Sale,Product Attachment,69.47,14.65,6.8855,5
Bag Stuffers,"Daily Paper, Radio",126.62,1.06,0.4134,2
Cash Register Lottery,"Daily Paper, Radio",59.86,8.97,4.1262,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,15.72,7.2312,4
High Roller Savings,"Daily Paper, Radio",84.16,4.68,2.2932,3
Bag Stuffers,"Daily Paper, Radio",126.62,6.54,3.0738,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,8.72,3.7496,4
I Cant Believe It Sale,Product Attachment,69.47,15.44,5.7128,4
Cash Register Lottery,"Daily Paper, Radio",59.86,2.84,1.3632,2
Tip Top Savings,"Daily Paper, Radio, TV",54.9,1.53,0.6579,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,6.2,2.418,4
I Cant Believe It Sale,Product Attachment,69.47,7.86,3.537,2
Bag Stuffers,"Daily Paper, Radio",126.62,6.54,2.0274,2
Big Time Savings,Radio,53.45,11.22,3.366,3
Cash Register Lottery,"Daily Paper, Radio",59.86,8.79,2.8128,3
I Cant Believe It Sale,Product Attachment,69.47,6.54,2.616,2
Cash Register Lottery,"Daily Paper, Radio",59.86,9.81,3.1392,3
Bag Stuffers,Product Attachment,82.62,6.24,2.4336,4
Cash Register Lottery,"Daily Paper, Radio",59.86,5.98,2.0332,2
Bag Stuffers,"Daily Paper, Radio",126.62,8.97,3.2292,3
Bag Stuffers,"Daily Paper, Radio",126.62,15.72,6.4452,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,7.86,3.144,2
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,9.81,4.7088,3
Price Savers,"Sunday Paper, Radio",80.29,4.65,2.046,3
Cash Register Lottery,"Daily Paper, Radio",59.86,7.86,2.5152,2
Big Time Savings,Radio,53.45,2.79,0.9765,3
I Cant Believe It Sale,Product Attachment,69.47,7.48,3.1416,4
Tip Top Savings,"Daily Paper, Radio, TV",54.9,1.53,0.6732,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,2.04,0.714,4
Big Time Savings,Radio,53.45,2.64,1.32,2
Save-It Sale,Radio,144.38,3.74,1.1594,2
Bag Stuffers,"Daily Paper, Radio",126.62,5.28,1.6896,4
Big Time Savings,Radio,53.45,7.56,3.3264,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,2.91,1.1349,3
Double Down Sale,Radio,50.79,9.81,4.5126,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,6.2,2.48,4
Save-It Sale,Radio,144.38,5.85,1.9305,3
Save-It Sale,Radio,144.38,13.08,6.54,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,11.22,5.049,3
Cash Register Lottery,"Daily Paper, Radio",59.86,5.98,2.392,2
Cash Register Lottery,"Daily Paper, Radio",59.86,11.72,4.9224,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,3.88,1.94,4
Dollar Days,"Daily Paper, Radio",138.81,7.48,2.9172,2
Dollar Days,"Daily Paper, Radio",138.81,1.59,0.6996,3
Super Duper Savers,Sunday Paper,69.65,11.72,3.8676,4
Super Duper Savers,Daily Paper,91.0,6.24,2.7456,4
Price Savers,"Sunday Paper, Radio",111.7,8.97,3.9468,3
Free For All,In-Store Coupon,109.06,3.88,1.6296,4
Super Duper Savers,Sunday Paper,69.65,5.04,2.3184,4
Double Down Sale,TV,95.74,13.08,3.924,4
Bag Stuffers,Daily Paper,70.32,5.28,1.7424,4
Sales Galore,Product Attachment,149.08,6.54,2.616,3
Double Down Sale,TV,95.74,9.81,3.3354,3
Dollar Days,"Daily Paper, Radio",138.81,15.44,6.0216,4
Two Day Sale,Daily Paper,103.65,5.61,2.5245,3
Price Savers,Street Handout,115.13,2.12,1.06,4
Super Duper Savers,Sunday Paper,69.65,3.74,1.2716,2
Sales Galore,Product Attachment,149.08,3.96,1.7424,3
Saving Days,Street Handout,67.31,5.61,1.9635,3
Super Duper Savers,Sunday Paper,69.65,2.64,0.8184,2
Super Duper Savers,Sunday Paper,69.65,3.74,1.5334,2
Bag Stuffers,Daily Paper,70.32,11.72,5.274,4
Sales Galore,Product Attachment,149.08,6.54,2.1582,2
Dollar Days,"Daily Paper, Radio",138.81,2.91,1.0767,3
Double Down Sale,TV,95.74,10.08,3.7296,4
Big Promo,Sunday Paper,51.12,1.02,0.4794,2
Saving Days,Street Handout,67.31,1.06,0.3816,2
Big Promo,Sunday Paper,51.12,8.72,3.5752,4
Two for One,Product Attachment,59.83,3.74,1.4212,2
Big Promo,Sunday Paper,51.12,1.94,0.9506,2
Super Duper Savers,Sunday Paper,69.65,7.56,3.0996,3
Sales Galore,Product Attachment,149.08,7.56,3.7044,3
Price Savers,"Sunday Paper, Radio",111.7,11.79,4.716,3
Price Savers,Street Handout,115.13,1.59,0.7632,3
Super Savers,Cash Register Handout,71.51,2.79,0.837,3
Big Promo,Sunday Paper,51.12,2.91,1.0767,3
Double Down Sale,TV,95.74,2.79,1.0602,3
Tip Top Savings,Street Handout,142.58,2.12,0.7632,4
Super Duper Savers,Sunday Paper,69.65,10.08,3.4272,4
Sales Galore,Product Attachment,149.08,7.86,3.4584,2
Double Down Sale,TV,95.74,2.04,0.8568,4
Dollar Days,"Daily Paper, Radio",138.81,1.94,0.8924,2
Free For All,In-Store Coupon,109.06,8.72,2.8776,4
Weekend Markdown,In-Store Coupon,73.05,15.72,5.3448,4
Price Savers,"Sunday Paper, Radio",111.7,4.36,2.0492,2
Price Savers,"Sunday Paper, Radio",111.7,1.06,0.371,2
Super Savers,Cash Register Handout,71.51,15.44,4.632,4
Super Duper Savers,Daily Paper,91.0,2.91,0.9603,3
Two Day Sale,Daily Paper,103.65,3.74,1.1968,2
Double Down Sale,TV,95.74,11.96,4.3056,4
Sales Galore,Product Attachment,149.08,1.59,0.6678,3
Sales Galore,Product Attachment,149.08,11.22,4.7124,3
Big Promo,Sunday Paper,51.12,7.86,2.358,2
Dollar Days,"Daily Paper, Radio",138.81,11.96,3.7076,4
Saving Days,Street Handout,67.31,5.85,2.223,3
Price Winners,In-Store Coupon,94.63,8.97,3.1395,3
Tip Top Savings,Street Handout,142.58,5.86,2.051,2
Double Down Sale,TV,95.74,4.65,1.488,3
Dollar Days,"Daily Paper, Radio",138.81,14.96,6.5824,4
Super Duper Savers,Sunday Paper,69.65,3.88,1.2804,4
Double Down Sale,TV,95.74,5.85,2.925,3
Double Down Sale,TV,95.74,3.96,1.2276,3
Dollar Cutters,"Sunday Paper, Radio",136.74,2.79,1.3671,3
Super Duper Savers,Sunday Paper,69.65,6.54,2.7468,2
Sales Galore,Product Attachment,149.08,4.65,1.4415,3
Super Duper Savers,Sunday Paper,69.65,11.96,4.186,4
Super Duper Savers,Daily Paper,91.0,2.04,0.9792,4
Save-It Sale,Sunday Paper,139.37,2.04,0.918,4
Big Promo,Sunday Paper,51.12,11.79,5.5413,3
Price Winners,In-Store Coupon,94.63,7.86,3.3798,2
Double Down Sale,TV,95.74,2.84,1.3916,2
Dollar Days,"Daily Paper, Radio",138.81,5.98,1.9136,2
Tip Top Savings,Street Handout,142.58,4.26,1.6614,3
Save-It Sale,Sunday Paper,139.37,4.26,1.278,3
Sales Galore,Product Attachment,149.08,4.26,1.6614,3
Price Winners,In-Store Coupon,94.63,8.79,2.7249,3
Two Day Sale,Daily Paper,103.65,5.86,2.051,2
Super Duper Savers,Sunday Paper,69.65,2.79,1.1997,3
Two for One,Product Attachment,59.83,2.64,1.0032,2
Super Duper Savers,Sunday Paper,69.65,7.48,3.6652,4
Price Savers,"Sunday Paper, Radio",111.7,4.68,1.5912,3
Two for One,Product Attachment,59.83,8.97,4.3056,3
Dollar Days,"Daily Paper, Radio",138.81,11.22,4.0392,3
Three for One,Product Attachment,122.47,15.72,5.1876,4
Big Time Savings,In-Store Coupon,135.8,4.26,1.7892,3
Unbeatable Price Savers,"Daily Paper, Radio, TV",137.77,13.08,4.578,4
Price Slashers,Radio,76.98,3.78,1.8522,3
Savings Galore,Street Handout,138.53,8.79,2.7249,3
Best Savings,Street Handout,114.01,1.86,0.8742,2
Shelf Clearing Days,Radio,99.77,7.48,3.5904,2
Super Duper Savers,"Sunday Paper, Radio",80.0,5.98,2.1528,2
Weekend Markdown,"Daily Paper, Radio",69.63,4.26,1.278,3
Dollar Cutters,"Daily Paper, Radio, TV",144.18,8.79,3.6039,3
Unbeatable Price Savers,"Daily Paper, Radio, TV",137.77,5.86,2.4026,2
Two Day Sale,Radio,91.28,2.65,1.1925,5
Unbeatable Price Savers,"Daily Paper, Radio, TV",137.77,4.65,1.5345,3
Weekend Markdown,"Daily Paper, Radio",69.63,14.96,6.5824,4
Price Slashers,"Sunday Paper, Radio, TV",100.44,6.54,3.0738,3
Price Slashers,"Sunday Paper, Radio, TV",100.44,5.98,2.093,2
Weekend Markdown,Sunday Paper,133.6,8.72,2.7904,4
Pick Your Savings,In-Store Coupon,83.51,10.08,3.9312,4
Pick Your Savings,In-Store Coupon,83.51,5.61,2.805,3
Price Slashers,Radio,76.98,1.06,0.53,2
Double Down Sale,Street Handout,59.19,3.88,1.552,4
Bye Bye Baby,Radio,90.58,8.97,3.9468,3
Weekend Markdown,"Daily Paper, Radio",69.63,2.91,1.1931,3
Weekend Markdown,"Daily Paper, Radio",69.63,2.04,0.9996,4
Price Slashers,Radio,76.98,9.35,3.6465,5
Big Promo,Cash Register Handout,123.88,3.12,1.3104,2
Dollar Cutters,"Daily Paper, Radio, TV",144.18,19.65,6.288,5
Savings Galore,Street Handout,138.53,7.48,3.366,4
Big Promo,Cash Register Handout,123.88,3.74,1.7578,2
Weekend Markdown,"Daily Paper, Radio",69.63,7.48,3.6652,2
Double Your Savings,Radio,94.43,6.2,2.356,4
Bye Bye Baby,Radio,90.58,7.56,3.2508,3
Bye Bye Baby,Radio,90.58,4.65,2.2785,3
Double Your Savings,Radio,94.43,9.81,3.7278,3
Big Time Savings,In-Store Coupon,135.8,5.85,2.3985,3
Best Savings,Street Handout,114.01,8.79,3.4281,3
Price Smashers,Product Attachment,138.23,5.86,2.5198,2
Weekend Markdown,"Daily Paper, Radio",69.63,8.79,3.7797,3
Savings Galore,Street Handout,138.53,3.88,1.5132,4
Shelf Clearing Days,Radio,99.77,18.7,6.919,5
Weekend Markdown,"Daily Paper, Radio",69.63,11.79,3.7728,3
Weekend Markdown,"Daily Paper, Radio",69.63,11.22,4.8246,3
Price Smashers,Product Attachment,138.23,5.61,2.1318,3
Big Time Savings,In-Store Coupon,135.8,4.65,2.2785,3
Super Savers,In-Store Coupon,134.66,8.79,2.9886,3
Big Time Savings,In-Store Coupon,135.8,2.91,0.9021,3
Sales Galore,Bulk Mail,142.45,11.72,5.86,4
Best Savings,Street Handout,114.01,11.96,4.784,4
Double Down Sale,Street Handout,59.19,7.8,3.276,4
Dimes Off,"Daily Paper, Radio",131.58,7.56,2.9484,3
Super Savers,In-Store Coupon,134.66,4.68,2.1996,3
Two Day Sale,Radio,91.28,1.53,0.4743,3
Dimes Off,"Daily Paper, Radio",131.58,9.81,3.8259,3
Unbeatable Price Savers,Bulk Mail,66.78,5.98,2.8106,2
Best Savings,Street Handout,114.01,11.72,5.7428,4
Pick Your Savings,In-Store Coupon,83.51,5.04,2.016,2
Two Day Sale,Radio,91.28,7.86,3.6942,2
Price Slashers,Radio,76.98,3.12,0.9984,2
Weekend Markdown,Sunday Paper,133.6,6.2,2.48,4
Super Duper Savers,"Sunday Paper, Radio",80.0,1.53,0.5355,3
Big Time Savings,In-Store Coupon,135.8,7.1,3.195,5
Super Savers,In-Store Coupon,134.66,11.79,4.9518,3
Two for One,"Daily Paper, Radio, TV",57.52,19.3,7.141,5
Dollar Cutters,"Sunday Paper, Radio, TV",135.5,3.88,1.4356,4
Go For It,"Daily Paper, Radio, TV",100.55,6.54,1.962,3
Go For It,"Daily Paper, Radio, TV",100.55,3.72,1.8228,4
Two for One,"Daily Paper, Radio, TV",57.52,4.68,1.9656,3
Savings Galore,"Sunday Paper, Radio",136.57,6.24,1.9968,4
Sales Days,Bulk Mail,116.74,11.72,4.3364,4
Super Savers,"Sunday Paper, Radio",64.99,2.65,1.272,5
Go For It,Street Handout,97.45,1.59,0.6042,3
Dollar Cutters,"Sunday Paper, Radio, TV",135.5,9.81,3.4335,3
Big Time Discounts,In-Store Coupon,59.4,3.96,1.7424,3
Big Promo,Radio,98.52,5.85,2.5155,3
Super Duper Savers,Daily Paper,100.91,5.04,2.1672,4
Sales Days,Bulk Mail,116.74,2.52,1.008,2
Two for One,"Daily Paper, Radio, TV",57.52,15.72,5.6592,4
Wallet Savers,"Sunday Paper, Radio, TV",79.95,11.58,3.5898,3
Green Light Days,Street Handout,133.42,7.56,2.7972,3
Dollar Cutters,"Sunday Paper, Radio, TV",135.5,1.86,0.5952,2
Wallet Savers,"Sunday Paper, Radio, TV",79.95,15.72,7.074,4
Green Light Days,Street Handout,133.42,2.79,1.2555,3
Price Winners,"Daily Paper, Radio",114.6,11.22,4.8246,3
Big Time Discounts,In-Store Coupon,59.4,5.61,2.0757,3
Wallet Savers,"Sunday Paper, Radio, TV",79.95,2.79,1.0881,3
Super Duper Savers,Daily Paper,100.91,11.72,5.1568,4
Green Light Days,Street Handout,133.42,5.61,2.4123,3
Super Duper Savers,Daily Paper,100.91,1.53,0.6885,3
Green Light Days,Street Handout,133.42,2.84,1.1076,2
Sales Days,Bulk Mail,116.74,4.65,1.953,5
Two for One,"Daily Paper, Radio, TV",57.52,5.04,2.2176,2
Green Light Days,Street Handout,133.42,4.26,1.917,3
Two for One,"Daily Paper, Radio, TV",57.52,2.91,1.0476,3
One Day Sale,In-Store Coupon,93.07,5.68,1.7608,4
Double Down Sale,"Daily Paper, Radio",62.67,3.72,1.1904,4
Savings Galore,"Sunday Paper, Radio",136.57,5.61,2.0196,3
Two for One,Bulk Mail,86.42,15.72,7.5456,4
Super Duper Savers,Daily Paper,100.91,7.56,2.9484,3
Price Winners,Cash Register Handout,95.21,6.54,3.27,3
Super Duper Savers,Daily Paper,100.91,7.56,2.5704,3
Super Savers,"Sunday Paper, Radio",64.99,8.79,3.6918,3
Savings Galore,"Sunday Paper, Radio",136.57,11.72,4.8052,4
Savings Galore,"Sunday Paper, Radio",136.57,7.56,3.5532,3
Green Light Days,Street Handout,133.42,2.12,0.954,4
Big Promo,Radio,98.52,11.72,5.5084,4
Big Time Discounts,In-Store Coupon,59.4,15.44,5.404,4
Price Destroyers,"Daily Paper, Radio",62.26,9.81,4.2183,3
Price Destroyers,"Daily Paper, Radio",62.26,7.48,2.5432,2
Two for One,"Daily Paper, Radio, TV",57.52,6.54,2.8776,3
Savings Galore,"Sunday Paper, Radio",136.57,11.58,5.4426,3
Price Winners,Cash Register Handout,95.21,8.72,3.2264,4
Super Savers,"Sunday Paper, Radio",64.99,13.08,5.3628,4
Two for One,"Daily Paper, Radio, TV",57.52,18.7,6.358,5
Big Time Discounts,In-Store Coupon,59.4,5.61,2.1318,3
Two for One,"Daily Paper, Radio, TV",57.52,13.08,4.3164,4
Price Destroyers,"Daily Paper, Radio",62.26,3.96,1.2276,3
Wallet Savers,"Sunday Paper, Radio, TV",79.95,8.79,2.9886,3
Save-It Sale,Daily Paper,81.79,13.08,4.578,4
Weekend Markdown,Street Handout,53.37,2.52,1.0332,2
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,2.52,1.0836,2
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,2.79,1.0044,3
You Save Days,Bulk Mail,131.81,5.04,2.52,4
Weekend Markdown,Street Handout,53.37,4.36,1.744,2
Price Destroyers,TV,135.92,7.72,3.2424,2
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,5.85,1.989,3
You Save Days,Bulk Mail,131.81,13.08,4.578,4
Best Savings,"Daily Paper, Radio, TV",53.82,2.79,0.8649,3
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,9.81,4.4145,3
Dollar Cutters,Bulk Mail,141.26,4.36,2.0056,2
You Save Days,Bulk Mail,131.81,11.22,3.8148,3
Pick Your Savings,Radio,147.17,5.98,2.8106,2
Save-It Sale,Daily Paper,81.79,2.04,0.6528,4
Weekend Markdown,Street Handout,53.37,7.48,2.5432,4
Two for One,Daily Paper,68.97,5.98,1.794,2
Super Savers,"Sunday Paper, Radio",64.76,2.91,1.0185,3
High Roller Savings,Daily Paper,101.84,7.56,3.4776,3
Weekend Markdown,Street Handout,53.37,11.22,3.5904,3
High Roller Savings,Daily Paper,101.84,11.58,5.5584,3
Price Savers,Cash Register Handout,128.2,7.72,2.9336,2
Two for One,Daily Paper,68.97,1.59,0.5724,3
Price Destroyers,TV,135.92,7.56,2.5704,3
Save-It Sale,Daily Paper,81.79,11.79,4.8339,3
Save-It Sale,Daily Paper,81.79,6.2,2.17,4
Price Winners,"Sunday Paper, Radio",122.51,14.96,7.0312,4
Price Destroyers,TV,135.92,13.08,4.7088,4
Price Destroyers,TV,135.92,15.72,6.9168,4
High Roller Savings,Daily Paper,101.84,7.56,3.7044,3
High Roller Savings,Daily Paper,101.84,9.81,3.7278,3
Price Savers,Cash Register Handout,128.2,6.54,2.616,2
Pick Your Savings,Radio,147.17,13.08,4.8396,4
Dollar Cutters,Bulk Mail,141.26,3.96,1.3464,3
Super Savers,"Sunday Paper, Radio",64.76,11.22,3.5904,3
Dollar Days,Sunday Paper,143.04,1.02,0.3366,2
Savings Galore,"Sunday Paper, Radio, TV",61.65,10.08,3.4272,4
Save-It Sale,Daily Paper,81.79,4.68,1.638,3
Price Winners,"Sunday Paper, Radio",122.51,7.72,3.5512,2
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,2.04,0.6324,4
You Save Days,Bulk Mail,131.81,4.26,1.8744,3
Weekend Markdown,Street Handout,53.37,7.56,2.646,3
