customer_id,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,location_id
c40,S,F,0,Bachelors Degree,Normal,Professional,N,4,$50K - $70K,0,loc40
c41,S,M,2,Partial College,Bronze,Manual,N,2,$30K - $50K,0,loc40
c42,S,F,0,High School Degree,Silver,Manual,N,3,$30K - $50K,0,loc40
c43,S,F,1,Bachelors Degree,Bronze,Professional,Y,4,$50K - $70K,0,loc40
c44,S,F,4,Bachelors Degree,Bronze,Professional,Y,3,$110K - $130K,0,loc40
c45,S,F,1,Partial High School,Silver,Manual,Y,1,$10K - $30K,0,loc40
c46,S,M,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,loc40
c47,M,F,1,High School Degree,Bronze,Professional,Y,2,$110K - $130K,0,loc40
c48,S,F,2,Partial High School,Bronze,Professional,Y,3,$130K - $150K,0,loc40
c49,M,M,2,Bachelors Degree,Bronze,Management,N,2,$70K - $90K,1,loc40
c50,S,F,2,Bachelors Degree,Golden,Management,N,3,$110K - $130K,0,loc40
c51,S,F,3,Partial High School,Bronze,Management,N,2,$70K - $90K,0,loc40
c52,S,M,0,High School Degree,Bronze,Professional,Y,1,$70K - $90K,0,loc40
c53,M,M,5,High School Degree,Bronze,Manual,Y,3,$30K - $50K,5,loc40
c54,S,M,3,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,loc40
c55,M,F,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,loc40
c56,M,F,0,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,loc40
c57,S,M,0,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,loc40
c58,M,M,4,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,4,loc58
c59,M,F,1,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,1,loc58
c61,M,F,3,Bachelors Degree,Bronze,Management,N,4,$50K - $70K,2,loc58
c62,M,F,2,Bachelors Degree,Bronze,Management,Y,2,$30K - $50K,2,loc58
c63,M,F,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,4,loc58
c64,M,M,3,Partial High School,Bronze,Manual,N,2,$30K - $50K,1,loc58
c65,S,F,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0,loc58
c66,M,M,1,Bachelors Degree,Golden,Management,Y,3,$70K - $90K,1,loc58
c67,S,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,loc58
c69,M,F,3,Bachelors Degree,Bronze,Professional,N,2,$70K - $90K,2,loc58
c70,M,M,2,Graduate Degree,Bronze,Management,Y,4,$70K - $90K,1,loc58
c71,S,F,2,Partial College,Normal,Manual,N,4,$30K - $50K,0,loc58
c72,S,F,4,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,loc58
c73,S,F,2,Graduate Degree,Bronze,Professional,Y,3,$110K - $130K,0,loc73
c74,S,F,2,Bachelors Degree,Bronze,Management,Y,2,$70K - $90K,0,loc73
c75,M,M,4,Partial High School,Normal,Skilled Manual,N,0,$10K - $30K,1,loc73
c76,M,M,5,High School Degree,Golden,Skilled Manual,Y,2,$30K - $50K,5,loc73
c77,M,M,4,Partial College,Silver,Skilled Manual,N,3,$50K - $70K,1,loc73
c78,S,M,3,Bachelors Degree,Bronze,Professional,N,4,$50K - $70K,0,loc73
c79,M,M,1,Graduate Degree,Bronze,Professional,Y,4,$130K - $150K,1,loc73
c80,S,F,2,High School Degree,Normal,Skilled Manual,Y,0,$10K - $30K,0,loc73
c81,M,M,0,High School Degree,Normal,Professional,N,3,$130K - $150K,0,loc73
c82,M,F,2,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,1,loc82
c83,M,M,0,Graduate Degree,Bronze,Management,Y,2,$70K - $90K,0,loc82
c84,S,F,2,Partial College,Bronze,Management,N,4,$30K - $50K,0,loc82
c85,S,M,3,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,loc82
c86,S,M,1,Partial College,Bronze,Management,N,1,$30K - $50K,0,loc82
c87,S,F,1,High School Degree,Silver,Management,Y,4,$150K +,0,loc82
c88,M,M,4,Partial College,Bronze,Manual,Y,2,$30K - $50K,1,loc82
c89,S,M,3,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,loc82
c90,S,M,0,High School Degree,Bronze,Skilled Manual,N,4,$50K - $70K,0,loc82
c91,M,F,0,Partial College,Normal,Professional,N,2,$30K - $50K,0,loc82
c92,M,M,3,Partial College,Bronze,Clerical,N,4,$30K - $50K,2,loc82
c93,S,F,1,Bachelors Degree,Golden,Professional,Y,1,$110K - $130K,0,loc82
c94,S,M,4,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,loc82
c95,S,F,5,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,loc82
c96,M,M,0,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,loc82
c97,S,F,1,High School Degree,Bronze,Professional,Y,3,$110K - $130K,0,loc82
c98,M,F,4,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,3,loc82
c99,M,M,4,Partial High School,Normal,Manual,Y,1,$10K - $30K,4,loc82
c100,M,F,2,High School Degree,Bronze,Management,N,3,$110K - $130K,2,loc100
c101,M,M,2,Partial High School,Normal,Manual,Y,1,$10K - $30K,1,loc100
c102,S,M,4,Bachelors Degree,Bronze,Management,N,4,$50K - $70K,0,loc100
c103,M,F,1,High School Degree,Normal,Management,Y,2,$70K - $90K,0,loc100
c104,S,M,2,Partial College,Bronze,Skilled Manual,N,1,$30K - $50K,0,loc100
c105,S,M,0,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,loc100
c106,M,F,4,Partial College,Bronze,Skilled Manual,Y,3,$30K - $50K,4,loc100
c107,S,F,3,Bachelors Degree,Bronze,Management,Y,3,$50K - $70K,0,loc100
c108,S,F,2,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,loc100
c109,S,M,4,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,loc100
c110,S,F,1,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,loc110
c111,M,F,4,High School Degree,Bronze,Manual,Y,4,$30K - $50K,4,loc110
c112,M,M,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,loc110
c113,S,M,2,Bachelors Degree,Normal,Management,Y,0,$10K - $30K,0,loc113
c114,S,F,3,Partial College,Bronze,Clerical,N,4,$30K - $50K,0,loc113
c115,S,F,4,High School Degree,Golden,Management,Y,2,$70K - $90K,0,loc113
c116,S,F,2,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,loc113
c117,S,M,2,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,loc113
c119,S,M,5,Partial College,Bronze,Manual,N,3,$30K - $50K,0,loc113
c120,M,M,0,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,loc113
c121,M,M,3,High School Degree,Bronze,Manual,N,4,$30K - $50K,1,loc113
c122,M,M,0,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,loc113
c123,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,loc113
c124,S,M,4,Bachelors Degree,Bronze,Management,Y,4,$50K - $70K,0,loc113
c125,M,M,2,Partial High School,Bronze,Manual,Y,3,$30K - $50K,1,loc113
c126,M,F,4,Bachelors Degree,Silver,Professional,Y,3,$70K - $90K,3,loc126
c128,M,M,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,loc0
c130,S,F,4,Partial High School,Bronze,Professional,Y,3,$90K - $110K,0,loc0
c131,M,F,1,Bachelors Degree,Bronze,Management,N,1,$50K - $70K,1,loc0
c132,M,M,5,Partial High School,Golden,Skilled Manual,Y,0,$10K - $30K,1,loc0
c133,S,M,2,Partial College,Bronze,Professional,N,3,$30K - $50K,0,loc0
c134,M,M,3,High School Degree,Bronze,Management,N,4,$150K +,0,loc0
c135,M,M,3,High School Degree,Golden,Professional,N,3,$130K - $150K,3,loc0
c136,S,M,1,High School Degree,Bronze,Professional,Y,1,$130K - $150K,0,loc0
c137,M,F,5,High School Degree,Bronze,Manual,Y,4,$30K - $50K,3,loc0
c138,M,F,0,Partial High School,Silver,Management,N,2,$110K - $130K,0,loc0
c139,S,M,3,Bachelors Degree,Bronze,Professional,Y,1,$70K - $90K,0,loc0
c140,M,F,2,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,2,loc0
c141,S,M,5,Bachelors Degree,Bronze,Management,N,2,$50K - $70K,0,loc0
c144,S,F,4,Bachelors Degree,Golden,Professional,N,2,$50K - $70K,0,loc0
c145,S,M,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,loc0
c146,S,F,2,Bachelors Degree,Bronze,Management,Y,2,$50K - $70K,0,loc0
c147,M,M,4,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,loc0
c149,M,M,4,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,4,loc0
c150,M,M,3,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,2,loc0
c151,S,F,0,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,loc0
c152,M,M,4,Partial College,Bronze,Professional,N,2,$30K - $50K,1,loc0
c153,S,F,3,Bachelors Degree,Bronze,Management,N,1,$70K - $90K,0,loc0
c154,S,M,1,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,loc0
c155,S,F,3,High School Degree,Bronze,Professional,Y,1,$90K - $110K,0,loc0
c156,M,M,1,High School Degree,Normal,Manual,N,4,$30K - $50K,0,loc0
c157,S,F,2,High School Degree,Bronze,Manual,Y,1,$30K - $50K,0,loc0
c158,M,F,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,loc0
c159,M,M,0,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,loc0
c160,M,M,2,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,2,loc0
c161,M,F,1,Partial High School,Bronze,Skilled Manual,Y,4,$30K - $50K,1,loc0
c162,S,M,4,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,0,loc0
c163,M,F,1,Bachelors Degree,Silver,Professional,Y,2,$50K - $70K,1,loc0
c166,S,M,4,Partial High School,Bronze,Management,N,2,$130K - $150K,0,loc0
c168,M,M,1,Graduate Degree,Bronze,Management,N,3,$90K - $110K,1,loc0
c169,S,F,2,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,loc0
c170,M,F,0,Bachelors Degree,Bronze,Management,Y,2,$70K - $90K,0,loc0
c171,M,F,1,Bachelors Degree,Bronze,Professional,Y,3,$90K - $110K,1,loc0
c172,S,F,1,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,loc0
c173,S,M,3,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,loc0
c174,S,M,2,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,loc0
c175,M,F,1,Partial College,Silver,Clerical,N,3,$30K - $50K,1,loc0
c178,M,F,1,Partial College,Bronze,Manual,Y,2,$30K - $50K,0,loc0
c179,S,M,4,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,loc0
c180,S,M,1,High School Degree,Normal,Manual,Y,2,$10K - $30K,0,loc0
c181,S,M,4,Partial College,Golden,Professional,Y,3,$70K - $90K,0,loc0
c182,M,F,1,Partial College,Bronze,Professional,N,3,$110K - $130K,1,loc0
c183,M,M,1,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,1,loc0
c184,M,M,1,Bachelors Degree,Golden,Professional,Y,4,$150K +,1,loc0
c185,S,M,1,Partial High School,Bronze,Skilled Manual,Y,2,$30K - $50K,0,loc0
c186,S,M,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,loc0
c187,M,F,2,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,1,loc0
c188,S,F,4,High School Degree,Normal,Skilled Manual,N,4,$30K - $50K,0,loc0
c189,S,M,4,High School Degree,Bronze,Professional,Y,2,$110K - $130K,0,loc0
c191,S,M,3,High School Degree,Bronze,Manual,N,4,$30K - $50K,0,loc0
c192,S,M,3,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,0,loc0
c194,M,M,3,Partial High School,Bronze,Manual,N,2,$10K - $30K,2,loc0
c195,M,F,4,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,loc0
c196,S,F,2,Partial High School,Bronze,Professional,Y,1,$70K - $90K,0,loc18
c200,M,F,1,Partial High School,Silver,Manual,N,1,$10K - $30K,1,loc18
c202,M,M,0,Partial High School,Bronze,Management,Y,4,$90K - $110K,0,loc18
c204,S,M,5,Partial High School,Bronze,Professional,Y,3,$130K - $150K,0,loc18
c205,M,M,3,Bachelors Degree,Bronze,Professional,Y,3,$90K - $110K,1,loc18
c207,S,F,5,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,loc18
c208,M,M,4,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,1,loc18
c209,M,F,3,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,3,loc18
c210,M,M,3,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,loc18
c211,S,F,1,Partial College,Bronze,Skilled Manual,N,3,$50K - $70K,0,loc18
c212,S,F,4,Partial High School,Bronze,Manual,Y,3,$30K - $50K,0,loc18
c214,S,F,1,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,loc18
c215,S,F,3,High School Degree,Silver,Skilled Manual,N,1,$30K - $50K,0,loc18
c216,S,M,3,Partial High School,Normal,Manual,N,2,$10K - $30K,0,loc18
c217,S,F,4,High School Degree,Silver,Manual,Y,2,$30K - $50K,0,loc18
c218,M,M,3,High School Degree,Normal,Professional,Y,3,$130K - $150K,0,loc18
c219,M,F,3,Partial College,Golden,Professional,Y,4,$30K - $50K,3,loc18
c220,S,M,3,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,loc18
c221,S,F,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,loc18
c222,S,F,1,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,loc18
c223,S,F,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,loc18
c224,S,M,2,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,loc18
c226,M,F,1,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,loc18
c228,M,M,3,Bachelors Degree,Bronze,Professional,Y,3,$110K - $130K,2,loc18
c230,S,F,2,Bachelors Degree,Bronze,Professional,Y,3,$30K - $50K,0,loc18
c231,S,F,5,High School Degree,Normal,Manual,N,4,$50K - $70K,0,loc18
c232,S,F,1,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,loc18
c234,S,F,2,Partial College,Bronze,Management,N,3,$30K - $50K,0,loc18
c235,S,M,3,High School Degree,Normal,Skilled Manual,N,2,$10K - $30K,0,loc18
c236,M,M,4,Partial High School,Normal,Manual,Y,0,$10K - $30K,3,loc18
c237,S,M,1,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,0,loc18
c238,M,F,2,Partial College,Bronze,Management,Y,3,$70K - $90K,1,loc18
c240,M,M,3,Partial High School,Normal,Manual,N,1,$10K - $30K,0,loc18
c241,S,M,4,High School Degree,Silver,Skilled Manual,N,3,$30K - $50K,0,loc18
c244,M,M,5,Bachelors Degree,Normal,Management,Y,4,$50K - $70K,3,loc18
c245,M,M,5,High School Degree,Golden,Manual,Y,2,$30K - $50K,5,loc18
c246,M,M,5,Partial High School,Normal,Manual,Y,0,$10K - $30K,2,loc18
c247,M,F,5,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,1,loc18
c248,M,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,1,loc18
c249,M,F,3,Partial College,Bronze,Management,Y,3,$130K - $150K,1,loc18
c250,S,F,1,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,loc18
c251,M,M,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,2,loc18
c252,M,F,1,Partial College,Bronze,Professional,Y,2,$30K - $50K,1,loc18
c253,S,F,3,High School Degree,Normal,Manual,N,0,$10K - $30K,0,loc18
c254,S,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,loc18
c256,M,F,0,Bachelors Degree,Bronze,Professional,N,1,$70K - $90K,0,loc18
c257,S,F,1,Bachelors Degree,Bronze,Management,Y,1,$110K - $130K,0,loc18
c258,M,F,4,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,2,loc18
c259,M,M,4,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,loc18
c261,M,M,4,Bachelors Degree,Golden,Management,Y,2,$50K - $70K,4,loc18
c262,S,F,3,Partial High School,Normal,Manual,N,2,$10K - $30K,0,loc18
c265,M,F,3,Partial High School,Bronze,Manual,Y,1,$10K - $30K,3,loc18
c267,S,F,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,loc18
c269,S,F,5,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,loc18
c271,M,F,2,Partial High School,Bronze,Professional,Y,2,$110K - $130K,2,loc18
c272,M,M,1,Graduate Degree,Bronze,Professional,N,3,$110K - $130K,1,loc18
c273,M,F,2,Graduate Degree,Bronze,Professional,Y,2,$70K - $90K,1,loc18
c274,S,F,2,High School Degree,Bronze,Professional,N,1,$70K - $90K,0,loc18
c275,S,F,5,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,loc18
c277,S,F,2,Partial High School,Golden,Skilled Manual,Y,1,$30K - $50K,0,loc18
c279,M,M,2,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,2,loc40
c280,S,M,3,Partial High School,Bronze,Management,N,1,$70K - $90K,0,loc40
c281,M,F,2,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,loc40
c282,M,F,0,Partial College,Bronze,Skilled Manual,Y,2,$30K - $50K,0,loc40
c283,M,M,1,Partial College,Bronze,Clerical,N,2,$30K - $50K,1,loc40
c284,M,F,4,High School Degree,Golden,Manual,Y,2,$30K - $50K,4,loc40
c285,S,M,4,High School Degree,Silver,Professional,Y,3,$90K - $110K,0,loc40
c286,S,M,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,loc40
c287,M,F,2,Partial High School,Golden,Manual,Y,2,$10K - $30K,1,loc40
c288,S,F,4,Partial College,Bronze,Clerical,Y,3,$30K - $50K,0,loc40
c289,S,M,0,High School Degree,Bronze,Management,Y,3,$110K - $130K,0,loc40
c290,S,M,1,Partial High School,Golden,Manual,N,1,$10K - $30K,0,loc40
c291,M,M,1,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,loc40
c293,S,M,2,Partial College,Bronze,Clerical,N,3,$30K - $50K,0,loc40
c294,S,M,2,Partial College,Normal,Management,Y,3,$30K - $50K,0,loc40
c296,M,F,2,High School Degree,Bronze,Professional,N,4,$110K - $130K,2,loc40
c297,S,M,2,Bachelors Degree,Silver,Professional,Y,3,$150K +,0,loc40
c298,S,F,1,Bachelors Degree,Normal,Professional,Y,1,$10K - $30K,0,loc40
c299,M,F,1,Graduate Degree,Bronze,Professional,Y,3,$70K - $90K,0,loc40
c300,S,F,0,Partial High School,Normal,Manual,N,2,$10K - $30K,0,loc40
c301,S,F,5,Bachelors Degree,Bronze,Management,Y,2,$50K - $70K,0,loc40
c302,M,F,2,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,2,loc40
c303,M,M,4,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,1,loc40
c304,S,M,2,Bachelors Degree,Bronze,Professional,Y,2,$130K - $150K,0,loc40
c306,S,M,2,Partial High School,Normal,Manual,N,2,$10K - $30K,0,loc40
c307,M,F,4,Partial High School,Bronze,Management,Y,2,$110K - $130K,1,loc40
c308,M,M,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,2,loc40
c310,S,M,4,Bachelors Degree,Golden,Professional,N,2,$50K - $70K,0,loc40
c311,S,F,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,loc40
c312,M,M,2,Partial High School,Normal,Manual,N,1,$10K - $30K,0,loc40
c313,S,F,3,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,loc40
c314,M,F,0,High School Degree,Bronze,Manual,N,2,$50K - $70K,0,loc40
c315,S,M,0,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,loc40
c316,M,M,5,High School Degree,Silver,Skilled Manual,Y,0,$10K - $30K,5,loc40
c317,M,M,3,Partial High School,Golden,Manual,Y,1,$30K - $50K,2,loc40
c318,M,M,3,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,2,loc40
c319,M,M,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,1,loc40
c320,M,M,1,Bachelors Degree,Bronze,Professional,Y,1,$70K - $90K,1,loc40
c321,S,M,3,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,loc40
c322,S,M,0,Bachelors Degree,Bronze,Management,N,2,$30K - $50K,0,loc40
c324,S,M,3,Partial College,Golden,Professional,N,4,$30K - $50K,0,loc40
c325,M,F,2,High School Degree,Bronze,Manual,N,3,$50K - $70K,2,loc40
c326,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,loc40
c327,S,F,0,Partial College,Bronze,Skilled Manual,Y,2,$30K - $50K,0,loc40
c328,M,M,1,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,loc40
c329,M,M,4,Partial High School,Golden,Manual,Y,3,$50K - $70K,3,loc40
c330,M,F,0,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,loc40
c331,M,F,1,Partial High School,Bronze,Skilled Manual,N,4,$30K - $50K,1,loc40
c332,M,F,4,High School Degree,Normal,Manual,Y,3,$30K - $50K,3,loc40
c333,M,F,1,High School Degree,Bronze,Professional,Y,2,$130K - $150K,0,loc40
c335,M,M,3,High School Degree,Normal,Manual,Y,3,$30K - $50K,2,loc40
c336,M,F,3,Partial College,Golden,Skilled Manual,Y,3,$30K - $50K,1,loc40
c337,M,M,5,Partial High School,Normal,Manual,N,1,$10K - $30K,5,loc40
c338,M,M,0,Partial High School,Silver,Skilled Manual,Y,1,$30K - $50K,0,loc40
c340,S,F,0,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,loc58
c341,M,M,3,High School Degree,Golden,Manual,Y,2,$30K - $50K,3,loc58
c344,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,loc58
c345,S,F,2,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,loc58
c346,S,M,4,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,loc58
c347,M,F,3,Partial College,Golden,Professional,Y,3,$30K - $50K,3,loc58
c349,S,F,5,High School Degree,Golden,Skilled Manual,Y,4,$30K - $50K,0,loc58
c350,M,M,2,Partial High School,Bronze,Manual,N,4,$50K - $70K,1,loc58
c352,M,M,3,Partial High School,Bronze,Skilled Manual,Y,1,$10K - $30K,3,loc58
c353,M,F,4,High School Degree,Golden,Skilled Manual,N,2,$30K - $50K,3,loc58
c354,S,F,4,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,loc58
c355,S,M,2,High School Degree,Silver,Manual,N,2,$30K - $50K,0,loc58
c356,M,M,3,Bachelors Degree,Golden,Professional,Y,4,$110K - $130K,3,loc58
c359,S,F,4,High School Degree,Bronze,Manual,N,4,$30K - $50K,0,loc58
c361,M,F,0,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,loc58
c364,S,M,1,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,0,loc58
c367,S,M,2,Partial College,Bronze,Management,N,2,$30K - $50K,0,loc58
c368,M,F,0,Partial High School,Bronze,Skilled Manual,N,3,$30K - $50K,0,loc58
c369,S,M,3,Partial High School,Bronze,Professional,Y,3,$90K - $110K,0,loc58
c370,S,F,5,Bachelors Degree,Bronze,Management,N,3,$70K - $90K,0,loc58
c371,S,F,1,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,loc58
c373,S,F,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,loc58
