product_id,brand_name,food_category,food_department,food_family,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case
prod1260,High Top,Vegetables,Produce,Food,1.71,13.4,11.3,1,0,22
prod1261,Ebony,Vegetables,Produce,Food,0.57,21.7,19.7,1,0,22
prod1262,Tri-State,Vegetables,Produce,Food,1.34,10.3,8.3,0,0,27
prod1263,Tri-State,Vegetables,Produce,Food,3.87,9.55,6.55,1,1,29
prod1264,Hermanos,Vegetables,Produce,Food,1.8,8.22,7.22,0,0,12
prod1267,Hermanos,Vegetables,Produce,Food,0.92,13.8,12.8,1,1,33
prod1268,Tell Tale,Vegetables,Produce,Food,0.73,18.7,16.7,0,1,25
prod1270,Tell Tale,Vegetables,Produce,Food,1.81,20.9,17.8,1,1,35
prod1271,Tell Tale,Vegetables,Produce,Food,2.96,13.9,11.8,1,0,28
prod1272,Tell Tale,Vegetables,Produce,Food,1.77,20.3,19.2,0,0,12
prod1275,High Top,Vegetables,Produce,Food,2.27,12.1,10.1,1,0,29
prod1276,Tri-State,Vegetables,Produce,Food,2.61,17.6,15.6,1,0,32
prod1277,Ebony,Vegetables,Produce,Food,2.84,20.8,18.7,1,0,30
prod1278,Hermanos,Vegetables,Produce,Food,2.4,7.06,5.05,1,0,29
prod1279,Tri-State,Vegetables,Produce,Food,3.17,7.66,5.65,1,0,25
prod1280,High Top,Vegetables,Produce,Food,0.69,12.3,11.3,0,0,17
prod1281,Hermanos,Vegetables,Produce,Food,3.36,18.7,15.7,1,1,33
prod1282,Ebony,Vegetables,Produce,Food,2.83,20.0,18.0,1,1,31
prod1283,Tri-State,Vegetables,Produce,Food,0.81,6.63,5.63,1,0,21
prod1285,High Top,Vegetables,Produce,Food,1.66,10.5,8.5,0,0,19
prod1286,Tri-State,Vegetables,Produce,Food,0.55,19.2,17.2,0,0,16
prod1287,Hermanos,Vegetables,Produce,Food,2.89,8.68,6.68,0,0,36
prod1289,Hermanos,Vegetables,Produce,Food,3.27,16.1,14.1,1,0,31
prod1290,Hermanos,Vegetables,Produce,Food,2.82,9.75,7.75,1,1,4
prod1292,Ebony,Vegetables,Produce,Food,2.21,7.48,4.48,0,0,6
prod1293,High Top,Vegetables,Produce,Food,1.84,9.05,6.05,0,1,11
prod1294,Tell Tale,Vegetables,Produce,Food,2.55,11.9,10.8,1,1,28
prod1295,High Top,Vegetables,Produce,Food,3.74,18.7,17.7,1,1,29
prod1297,Ebony,Vegetables,Produce,Food,2.71,14.6,11.6,0,1,6
prod1300,Ebony,Vegetables,Produce,Food,3.34,20.9,18.8,1,0,28
prod1301,Tell Tale,Vegetables,Produce,Food,1.17,9.22,6.22,1,0,8
prod1302,High Top,Vegetables,Produce,Food,3.85,6.82,4.82,1,1,16
prod1303,Hermanos,Vegetables,Produce,Food,2.84,13.7,10.6,0,1,11
prod1305,Tri-State,Vegetables,Produce,Food,3.42,20.6,19.6,1,1,36
prod1306,High Top,Vegetables,Produce,Food,2.58,14.7,11.6,1,1,14
prod1307,Tell Tale,Vegetables,Produce,Food,2.41,16.4,13.3,1,1,12
prod1310,Tri-State,Vegetables,Produce,Food,2.43,18.8,17.7,1,0,21
prod1311,Ebony,Vegetables,Produce,Food,0.96,21.6,20.6,0,1,12
prod1313,Tell Tale,Vegetables,Produce,Food,3.51,19.6,18.6,1,0,14
prod1316,Tri-State,Vegetables,Produce,Food,3.58,19.9,18.8,0,1,4
prod1317,Tri-State,Vegetables,Produce,Food,2.53,15.9,13.8,1,0,33
prod1321,Hermanos,Vegetables,Produce,Food,2.63,16.2,14.2,0,1,30
prod1322,High Top,Vegetables,Produce,Food,3.4,20.0,18.0,1,1,22
prod1325,High Top,Vegetables,Produce,Food,3.45,8.51,6.51,1,0,4
prod1326,High Top,Vegetables,Produce,Food,1.33,19.5,16.5,1,1,25
prod1328,Tri-State,Vegetables,Produce,Food,1.71,16.1,15.1,0,0,21
prod1329,Tri-State,Vegetables,Produce,Food,0.74,15.2,14.1,1,0,30
prod1331,Ebony,Vegetables,Produce,Food,2.6,8.1,6.1,1,0,32
prod1333,Tri-State,Vegetables,Produce,Food,2.8,12.7,10.6,0,0,19
prod1334,Ebony,Vegetables,Produce,Food,3.51,21.4,19.3,0,1,18
prod1336,Tri-State,Vegetables,Produce,Food,0.67,17.5,14.5,0,0,30
prod1338,Hermanos,Vegetables,Produce,Food,1.73,15.2,12.1,0,1,32
prod1339,Hermanos,Vegetables,Produce,Food,3.86,17.3,16.2,0,0,34
prod1341,High Top,Vegetables,Produce,Food,2.23,18.7,17.7,0,0,20
prod1342,Hermanos,Vegetables,Produce,Food,1.74,11.3,8.3,0,1,30
prod1343,Ebony,Vegetables,Produce,Food,2.97,17.4,15.3,1,0,26
prod1346,High Top,Vegetables,Produce,Food,1.52,10.7,7.69,0,1,4
prod1347,Ebony,Vegetables,Produce,Food,1.39,19.4,17.3,1,0,6
prod1350,Tell Tale,Vegetables,Produce,Food,1.45,17.1,15.1,1,1,13
prod1353,Tell Tale,Vegetables,Produce,Food,2.6,9.09,6.09,0,1,5
prod1354,Ebony,Vegetables,Produce,Food,1.32,6.29,5.28,1,1,28
prod1355,Ebony,Vegetables,Produce,Food,2.17,15.6,14.6,0,1,21
prod1360,Tri-State,Vegetables,Produce,Food,1.57,21.4,20.3,0,0,12
prod1370,High Top,Vegetables,Produce,Food,1.43,21.9,20.8,0,0,13
prod1371,Hermanos,Vegetables,Produce,Food,3.74,13.1,12.1,0,1,21
prod1375,Tell Tale,Vegetables,Produce,Food,1.86,21.2,20.2,0,1,31
prod1378,Ebony,Vegetables,Produce,Food,1.45,14.3,11.3,1,0,30
prod1379,Ebony,Vegetables,Produce,Food,2.99,12.4,10.3,1,1,30
prod1381,Tell Tale,Vegetables,Produce,Food,1.87,14.7,13.6,1,0,10
prod1384,Hermanos,Vegetables,Produce,Food,2.81,10.7,8.69,0,0,9
prod1390,Tell Tale,Vegetables,Produce,Food,2.66,17.0,14.0,0,1,11
prod1393,Tell Tale,Vegetables,Produce,Food,1.93,9.02,6.02,1,0,27
prod1397,Tell Tale,Vegetables,Produce,Food,1.14,14.8,12.8,1,1,18
prod1401,Tri-State,Vegetables,Produce,Food,3.64,12.0,10.0,1,1,11
prod1404,High Top,Vegetables,Produce,Food,2.41,7.06,5.05,1,0,22
prod1408,Tell Tale,Vegetables,Produce,Food,2.64,7.43,5.42,1,0,23
prod1409,Tri-State,Vegetables,Produce,Food,2.93,11.9,9.89,1,0,15
prod1414,Tri-State,Vegetables,Produce,Food,0.78,17.9,14.8,1,0,15
prod1428,Hermanos,Vegetables,Produce,Food,1.37,8.33,6.32,0,0,1
prod1440,Hermanos,Vegetables,Produce,Food,1.5,9.99,7.98,0,0,11
prod1454,Hermanos,Vegetables,Produce,Food,2.37,14.1,13.1,0,1,22
prod1460,High Top,Vegetables,Produce,Food,2.95,18.7,17.7,0,0,30
prod1465,Hermanos,Vegetables,Produce,Food,1.83,9.71,8.71,1,0,6
prod1469,Ebony,Vegetables,Produce,Food,1.73,18.7,16.7,0,0,3
prod1483,Ebony,Vegetables,Produce,Food,3.26,11.5,9.5,1,1,16
prod1502,Tell Tale,Vegetables,Produce,Food,3.17,20.1,18.1,1,0,24
prod1521,Hermanos,Vegetables,Produce,Food,2.72,17.2,16.2,0,1,28
prod1524,High Top,Vegetables,Produce,Food,3.32,16.1,14.1,0,1,3
prod1535,Ebony,Vegetables,Produce,Food,1.41,21.1,20.1,0,0,33
prod1550,High Top,Vegetables,Produce,Food,0.93,16.1,14.1,0,1,23
prod1551,Tell Tale,Vegetables,Produce,Food,1.94,13.0,10.0,1,0,3
prod1553,High Top,Vegetables,Produce,Food,1.24,13.5,11.5,1,1,7
prod1575,Tell Tale,Vegetables,Produce,Food,1.65,13.4,11.3,0,1,24
prod1584,High Top,Vegetables,Produce,Food,1.32,14.8,13.8,0,1,15
prod1610,Tell Tale,Vegetables,Produce,Food,0.84,11.2,10.1,0,0,31
prod1617,High Top,Vegetables,Produce,Food,0.57,9.3,7.3,1,0,24
prod1633,Ebony,Vegetables,Produce,Food,1.22,18.7,16.7,1,1,4
prod1649,Tri-State,Vegetables,Produce,Food,2.21,19.6,18.6,1,1,33
prod1662,Ebony,Vegetables,Produce,Food,2.19,7.96,4.96,1,1,8
prod1702,Tell Tale,Vegetables,Produce,Food,2.59,9.77,7.77,1,1,20
prod1727,Hermanos,Vegetables,Produce,Food,2.23,8.02,6.02,1,0,1
prod2274,Ebony,Vegetables,Produce,Food,2.85,12.0,11.0,0,0,26
prod4284,PigTail,Frozen Desserts,Frozen Foods,Food,1.32,17.0,15.0,0,1,14
prod4285,Carrington,Frozen Desserts,Frozen Foods,Food,0.69,14.7,12.6,1,0,14
prod4286,PigTail,Frozen Desserts,Frozen Foods,Food,1.28,15.3,13.3,1,0,8
prod4287,Big Time,Frozen Desserts,Frozen Foods,Food,3.13,10.4,7.39,1,0,13
prod4288,Imagine,Frozen Desserts,Frozen Foods,Food,0.88,12.2,9.19,0,0,30
prod4289,Golden,Frozen Desserts,Frozen Foods,Food,1.13,9.35,7.35,0,1,35
prod4291,Golden,Frozen Desserts,Frozen Foods,Food,3.88,18.0,17.0,1,0,11
prod4292,Carrington,Frozen Desserts,Frozen Foods,Food,2.9,12.5,10.5,0,1,11
prod4296,PigTail,Frozen Desserts,Frozen Foods,Food,1.22,12.6,10.6,0,1,23
prod4297,Carrington,Frozen Desserts,Frozen Foods,Food,1.81,11.5,9.5,1,0,6
prod4298,Imagine,Frozen Desserts,Frozen Foods,Food,2.94,19.3,17.2,0,0,34
prod4301,Golden,Frozen Desserts,Frozen Foods,Food,1.95,9.49,8.48,1,1,6
prod4304,Big Time,Frozen Desserts,Frozen Foods,Food,0.51,8.25,7.25,1,1,33
prod4306,Imagine,Frozen Desserts,Frozen Foods,Food,2.83,20.2,18.2,0,1,27
prod4308,Carrington,Frozen Desserts,Frozen Foods,Food,1.67,20.2,18.2,0,0,21
prod4310,Golden,Frozen Desserts,Frozen Foods,Food,2.45,18.2,17.2,0,1,16
prod4317,Imagine,Frozen Desserts,Frozen Foods,Food,0.63,19.1,16.1,0,0,10
prod4322,Big Time,Frozen Desserts,Frozen Foods,Food,1.47,17.2,15.2,0,1,5
prod4340,Big Time,Frozen Desserts,Frozen Foods,Food,2.25,18.4,17.3,1,0,28
prod4345,PigTail,Frozen Desserts,Frozen Foods,Food,0.74,16.5,14.5,0,1,5
prod4820,Thresher,Candy,Snacks,Food,1.87,18.8,17.7,1,0,4
prod4821,Gulf Coast,Candy,Snacks,Food,1.59,21.8,19.7,1,0,10
prod4824,Musial,Candy,Snacks,Food,3.43,16.0,14.0,0,0,13
prod4825,Atomic,Candy,Snacks,Food,0.66,17.9,15.8,1,1,9
prod4826,Thresher,Candy,Snacks,Food,1.58,10.3,8.3,1,0,7
prod4827,Atomic,Candy,Snacks,Food,0.9,10.9,9.89,1,0,9
prod4828,Atomic,Candy,Snacks,Food,2.35,15.9,13.8,1,1,35
prod4829,Atomic,Candy,Snacks,Food,1.25,10.4,8.39,0,0,31
prod4830,Gulf Coast,Candy,Snacks,Food,2.94,21.9,19.8,1,0,22
prod4831,Choice,Candy,Snacks,Food,0.56,11.6,8.6,0,1,33
prod4832,Thresher,Candy,Snacks,Food,1.71,20.9,17.8,0,1,23
prod4833,Choice,Candy,Snacks,Food,0.64,8.65,6.64,0,1,34
prod4834,Gulf Coast,Candy,Snacks,Food,2.75,14.7,11.6,0,0,3
prod4835,Musial,Candy,Snacks,Food,0.98,13.5,12.5,0,1,9
prod4836,Gulf Coast,Candy,Snacks,Food,2.98,19.3,17.2,1,0,24
prod4838,Musial,Candy,Snacks,Food,0.89,13.8,10.8,0,1,22
prod4841,Choice,Candy,Snacks,Food,1.84,21.9,18.8,0,0,16
prod4851,Thresher,Candy,Snacks,Food,2.49,11.5,9.5,1,1,26
prod4867,Musial,Candy,Snacks,Food,2.1,19.7,16.7,1,0,33
prod4871,Atomic,Candy,Snacks,Food,1.78,13.9,10.8,0,0,20
prod4884,Choice,Candy,Snacks,Food,2.65,21.7,20.7,1,0,28
prod4886,Thresher,Candy,Snacks,Food,3.44,17.5,16.5,1,1,26
prod4892,Choice,Candy,Snacks,Food,0.89,18.2,15.2,0,1,34
prod4905,Musial,Candy,Snacks,Food,2.81,19.6,17.6,0,0,3
prod4908,Gulf Coast,Candy,Snacks,Food,2.81,7.11,6.11,1,1,3
prod5434,Fort West,Snack Foods,Snack Foods,Food,1.39,7.18,6.17,0,0,14
prod5435,Nationeel,Snack Foods,Snack Foods,Food,2.12,17.0,15.0,1,0,15
prod5436,Horatio,Snack Foods,Snack Foods,Food,1.54,7.71,6.71,1,1,25
prod5437,Horatio,Snack Foods,Snack Foods,Food,2.84,11.1,8.1,0,1,22
prod5438,Nationeel,Snack Foods,Snack Foods,Food,3.58,14.4,12.3,1,0,5
prod5439,Fort West,Snack Foods,Snack Foods,Food,1.68,18.4,15.3,0,1,17
prod5441,Horatio,Snack Foods,Snack Foods,Food,1.79,18.6,16.6,1,1,27
prod5442,Best Choice,Snack Foods,Snack Foods,Food,1.49,9.9,6.89,0,0,19
prod5443,Best Choice,Snack Foods,Snack Foods,Food,2.44,18.6,16.6,0,0,14
prod5444,Best Choice,Snack Foods,Snack Foods,Food,3.21,18.8,17.7,1,0,22
prod5445,Best Choice,Snack Foods,Snack Foods,Food,1.78,13.0,10.0,0,0,17
prod5446,Fast,Snack Foods,Snack Foods,Food,0.8,15.0,13.0,0,1,21
prod5447,Fort West,Snack Foods,Snack Foods,Food,2.3,8.32,6.31,0,0,23
prod5448,Fast,Snack Foods,Snack Foods,Food,3.14,13.1,12.1,1,0,34
prod5449,Horatio,Snack Foods,Snack Foods,Food,1.68,9.01,6.01,1,0,32
prod5450,Fast,Snack Foods,Snack Foods,Food,3.78,19.9,17.8,0,1,20
prod5452,Fort West,Snack Foods,Snack Foods,Food,3.48,15.3,12.3,1,1,12
prod5453,Horatio,Snack Foods,Snack Foods,Food,1.35,16.4,14.3,1,0,6
prod5456,Horatio,Snack Foods,Snack Foods,Food,1.77,20.9,19.8,1,0,15
prod5457,Horatio,Snack Foods,Snack Foods,Food,1.4,7.87,6.86,0,0,27
prod5458,Fort West,Snack Foods,Snack Foods,Food,1.52,12.4,10.3,1,1,23
prod5461,Fort West,Snack Foods,Snack Foods,Food,2.41,9.79,8.78,1,1,19
prod5462,Horatio,Snack Foods,Snack Foods,Food,0.76,12.4,10.3,0,0,8
prod5464,Nationeel,Snack Foods,Snack Foods,Food,2.54,17.1,14.1,1,1,9
prod5468,Nationeel,Snack Foods,Snack Foods,Food,2.52,19.2,16.2,0,0,9
prod5473,Best Choice,Snack Foods,Snack Foods,Food,1.59,20.0,18.0,0,0,28
prod5474,Nationeel,Snack Foods,Snack Foods,Food,2.79,9.63,7.63,1,0,22
prod5475,Nationeel,Snack Foods,Snack Foods,Food,1.97,20.0,18.0,1,0,9
prod5477,Fast,Snack Foods,Snack Foods,Food,1.2,15.0,12.0,0,1,5
prod5478,Horatio,Snack Foods,Snack Foods,Food,2.2,17.9,15.8,1,0,8
prod5484,Nationeel,Snack Foods,Snack Foods,Food,1.88,12.3,11.3,1,1,23
prod5486,Best Choice,Snack Foods,Snack Foods,Food,0.86,14.7,12.6,1,1,26
prod5488,Fast,Snack Foods,Snack Foods,Food,0.77,15.7,13.6,1,1,9
prod5494,Fast,Snack Foods,Snack Foods,Food,2.88,19.3,18.2,1,0,18
prod5499,Best Choice,Snack Foods,Snack Foods,Food,2.11,6.6,3.59,1,1,6
prod5501,Best Choice,Snack Foods,Snack Foods,Food,2.7,7.29,4.28,1,1,22
prod5502,Fort West,Snack Foods,Snack Foods,Food,3.96,6.78,4.78,0,1,13
prod5503,Nationeel,Snack Foods,Snack Foods,Food,2.35,13.4,12.3,0,0,17
prod5512,Fast,Snack Foods,Snack Foods,Food,1.36,18.4,15.3,0,0,18
prod5514,Fast,Snack Foods,Snack Foods,Food,0.59,17.8,15.7,0,0,21
prod5516,Fast,Snack Foods,Snack Foods,Food,3.25,11.3,8.3,1,0,24
prod5538,Nationeel,Snack Foods,Snack Foods,Food,3.46,11.2,10.1,0,1,26
prod5575,Best Choice,Snack Foods,Snack Foods,Food,2.59,13.4,12.3,0,0,18
prod5652,Fort West,Snack Foods,Snack Foods,Food,3.29,12.1,10.1,0,0,16
prod5669,Fort West,Snack Foods,Snack Foods,Food,2.47,20.1,19.1,0,0,34
prod6551,Gorilla,Dairy,Dairy,Food,3.29,8.86,6.85,1,1,5
prod6552,Carlson,Dairy,Dairy,Food,3.75,19.3,16.2,0,0,30
prod6554,Even Better,Dairy,Dairy,Food,0.72,12.0,9.0,1,1,12
prod6555,Carlson,Dairy,Dairy,Food,1.13,14.1,12.1,1,0,15
prod6556,Gorilla,Dairy,Dairy,Food,3.18,21.1,20.1,1,1,30
prod6559,Club,Dairy,Dairy,Food,3.44,14.4,12.3,1,0,19
prod6560,Booker,Dairy,Dairy,Food,2.51,14.1,12.1,1,0,15
prod6561,Gorilla,Dairy,Dairy,Food,3.59,13.1,10.1,1,1,24
prod6562,Gorilla,Dairy,Dairy,Food,2.74,18.2,17.2,0,0,13
prod6563,Booker,Dairy,Dairy,Food,1.45,17.3,15.2,1,0,19
prod6564,Even Better,Dairy,Dairy,Food,1.79,8.89,6.89,0,0,7
prod6566,Booker,Dairy,Dairy,Food,0.94,8.42,5.42,1,0,25
prod6567,Gorilla,Dairy,Dairy,Food,2.93,20.8,19.7,1,1,29
prod6569,Gorilla,Dairy,Dairy,Food,1.8,19.4,18.3,1,1,3
prod6570,Carlson,Dairy,Dairy,Food,1.31,9.8,6.8,1,1,20
prod6571,Carlson,Dairy,Dairy,Food,1.82,8.71,6.71,1,1,22
prod6572,Gorilla,Dairy,Dairy,Food,3.93,21.9,18.8,1,0,27
prod6576,Club,Dairy,Dairy,Food,3.38,17.0,15.0,0,0,30
prod6579,Club,Dairy,Dairy,Food,2.57,17.8,15.7,1,0,21
prod6580,Booker,Dairy,Dairy,Food,1.34,6.3,5.3,1,0,22
prod6581,Even Better,Dairy,Dairy,Food,3.61,6.94,3.94,1,0,11
prod6583,Even Better,Dairy,Dairy,Food,3.12,7.91,6.9,1,0,13
prod6584,Club,Dairy,Dairy,Food,2.17,14.5,13.5,1,1,27
prod6585,Booker,Dairy,Dairy,Food,1.85,14.8,13.8,1,0,19
prod6590,Even Better,Dairy,Dairy,Food,0.81,6.33,4.32,1,1,20
prod6592,Even Better,Dairy,Dairy,Food,2.59,18.6,16.6,0,0,15
prod6593,Club,Dairy,Dairy,Food,2.93,9.58,7.57,0,1,15
prod6600,Booker,Dairy,Dairy,Food,1.66,21.6,18.6,1,0,30
prod6601,Carlson,Dairy,Dairy,Food,3.96,11.9,9.89,1,0,29
prod6602,Even Better,Dairy,Dairy,Food,3.5,14.6,12.6,0,1,21
prod6608,Gorilla,Dairy,Dairy,Food,3.34,13.3,10.3,1,1,20
prod6614,Even Better,Dairy,Dairy,Food,3.25,17.2,16.2,1,0,15
prod6618,Carlson,Dairy,Dairy,Food,2.2,17.1,15.1,0,0,7
prod6619,Booker,Dairy,Dairy,Food,0.68,12.2,10.1,0,0,6
prod6625,Club,Dairy,Dairy,Food,3.95,9.95,7.94,0,1,36
prod6629,Carlson,Dairy,Dairy,Food,1.8,12.2,9.19,1,1,17
prod6634,Club,Dairy,Dairy,Food,1.47,8.41,5.4,0,1,9
prod6635,Club,Dairy,Dairy,Food,3.61,18.8,16.7,1,1,18
prod6643,Carlson,Dairy,Dairy,Food,3.97,10.8,9.8,0,0,26
prod6646,Even Better,Dairy,Dairy,Food,0.84,13.1,10.1,1,0,18
prod6649,Booker,Dairy,Dairy,Food,1.85,11.9,9.89,1,1,10
prod6660,Booker,Dairy,Dairy,Food,2.76,13.8,11.8,1,1,16
prod6669,Club,Dairy,Dairy,Food,1.88,6.31,3.3,1,1,17
prod6687,Gorilla,Dairy,Dairy,Food,1.79,18.2,15.2,1,1,14
prod6719,Carlson,Dairy,Dairy,Food,1.32,20.9,18.8,1,0,16
prod7648,Shady Lake,Starchy Foods,Starchy Foods,Food,0.7,18.6,16.6,1,1,11
prod7649,Monarch,Starchy Foods,Starchy Foods,Food,1.8,13.2,11.1,0,0,24
prod7650,Discover,Starchy Foods,Starchy Foods,Food,2.47,19.3,17.2,0,0,9
prod7651,Discover,Starchy Foods,Starchy Foods,Food,2.73,14.5,13.5,1,0,27
prod7653,Colossal,Starchy Foods,Starchy Foods,Food,1.46,15.0,12.0,1,1,31
prod7655,Colossal,Starchy Foods,Starchy Foods,Food,3.94,14.3,11.3,1,0,3
prod7656,Shady Lake,Starchy Foods,Starchy Foods,Food,2.81,11.0,8.0,1,1,26
prod7664,Monarch,Starchy Foods,Starchy Foods,Food,3.11,8.44,6.43,0,0,7
prod7665,Medalist,Starchy Foods,Starchy Foods,Food,2.78,18.7,16.7,1,1,24
prod7668,Medalist,Starchy Foods,Starchy Foods,Food,3.61,10.7,9.69,1,1,6
prod7682,Jardon,Starchy Foods,Starchy Foods,Food,0.58,17.4,14.3,0,0,32
prod7691,Jardon,Starchy Foods,Starchy Foods,Food,1.9,13.5,11.5,1,0,33
prod7940,Cormorant,Cleaning Supplies,Household,Non-Consumable,3.89,6.21,4.21,1,0,17
prod7941,Sunset,Cleaning Supplies,Household,Non-Consumable,2.44,15.7,13.6,1,0,11
prod7942,Red Wing,Cleaning Supplies,Household,Non-Consumable,2.95,15.2,13.1,0,0,35
prod7947,High Quality,Cleaning Supplies,Household,Non-Consumable,2.38,7.97,5.96,1,0,21
prod7959,Denny,Cleaning Supplies,Household,Non-Consumable,1.96,16.8,13.7,1,0,16
prod8058,Faux Products,Decongestants,Health and Hygiene,Non-Consumable,1.61,20.8,19.7,1,0,22
prod8059,Steady,Decongestants,Health and Hygiene,Non-Consumable,1.93,19.5,16.5,1,0,35
