promotion_id,promotion_name,media_type,cost,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,product_id,store_id,customer_id,location_id
prom51,Price Slashers,"Sunday Paper, Radio, TV",54.11,2.91,1.1349,3,prod138,s0,c186,loc0
prom52,Price Slashers,"Sunday Paper, Radio, TV",54.11,3.88,1.94,4,prod138,s0,c195,loc0
prom53,Price Slashers,"Sunday Paper, Radio, TV",54.11,5.61,1.9074,3,prod139,s0,c139,loc0
prom54,I Cant Believe It Sale,Product Attachment,69.47,7.48,3.1416,4,prod139,s0,c179,loc0
prom55,Save-It Sale,Radio,144.38,3.74,1.1594,2,prod139,s0,c183,loc0
prom56,Price Slashers,"Sunday Paper, Radio, TV",54.11,11.22,3.7026,3,prod140,s0,c140,loc0
prom57,Big Time Savings,Radio,53.45,11.22,3.366,3,prod140,s0,c166,loc0
prom58,Price Slashers,"Sunday Paper, Radio, TV",54.11,11.22,5.049,3,prod140,s0,c191,loc0
prom59,Cash Register Lottery,"Daily Paper, Radio",59.86,6.54,2.8776,2,prod142,s0,c141,loc0
prom60,Bag Stuffers,"Daily Paper, Radio",126.62,6.54,2.0274,2,prod142,s0,c163,loc0
prom61,I Cant Believe It Sale,Product Attachment,69.47,6.54,2.616,2,prod142,s0,c168,loc0
prom62,Save-It Sale,Radio,144.38,13.08,6.54,4,prod142,s0,c189,loc0
prom63,Bag Stuffers,"Daily Paper, Radio",126.62,2.84,1.3916,2,prod143,s0,c141,loc0
prom64,Cash Register Lottery,"Daily Paper, Radio",59.86,2.84,1.3632,2,prod143,s0,c161,loc0
prom65,Bag Stuffers,"Daily Paper, Radio",126.62,5.85,2.808,3,prod145,s0,c145,loc0
prom66,I Cant Believe It Sale,Product Attachment,69.47,7.8,2.886,4,prod145,s0,c146,loc0
prom67,Save-It Sale,Radio,144.38,5.85,1.9305,3,prod145,s0,c189,loc0
prom68,High Roller Savings,"Daily Paper, Radio",84.16,15.44,6.4848,4,prod150,s0,c150,loc0
prom69,I Cant Believe It Sale,Product Attachment,69.47,15.44,5.7128,4,prod150,s0,c160,loc0
prom70,Bag Stuffers,"Daily Paper, Radio",126.62,1.53,0.5661,3,prod151,s0,c151,loc0
prom71,Tip Top Savings,"Daily Paper, Radio, TV",54.9,1.53,0.6579,3,prod151,s0,c162,loc0
prom72,Tip Top Savings,"Daily Paper, Radio, TV",54.9,1.53,0.6732,3,prod151,s0,c180,loc0
prom73,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,2.04,0.714,4,prod151,s0,c181,loc0
prom74,Bag Stuffers,"Daily Paper, Radio",126.62,1.06,0.4134,2,prod154,s0,c154,loc0
prom75,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,15.72,7.2312,4,prod156,s0,c156,loc0
prom76,I Cant Believe It Sale,Product Attachment,69.47,7.86,3.537,2,prod156,s0,c163,loc0
prom77,Bag Stuffers,"Daily Paper, Radio",126.62,15.72,6.4452,4,prod156,s0,c173,loc0
prom78,Price Slashers,"Sunday Paper, Radio, TV",54.11,7.86,3.144,2,prod156,s0,c174,loc0
prom79,Cash Register Lottery,"Daily Paper, Radio",59.86,7.86,2.5152,2,prod156,s0,c175,loc0
prom80,Price Slashers,"Sunday Paper, Radio, TV",54.11,7.86,3.144,2,prod156,s0,c194,loc0
prom81,Bag Stuffers,"Daily Paper, Radio",126.62,6.54,3.0738,3,prod158,s0,c158,loc0
prom82,Price Slashers,"Sunday Paper, Radio, TV",54.11,8.72,3.7496,4,prod158,s0,c159,loc0
prom83,Price Slashers,"Sunday Paper, Radio, TV",54.11,6.2,2.418,4,prod163,s0,c163,loc0
prom84,Price Savers,"Sunday Paper, Radio",80.29,4.65,2.046,3,prod163,s0,c175,loc0
prom85,Price Slashers,"Sunday Paper, Radio, TV",54.11,6.2,2.48,4,prod163,s0,c188,loc0
prom86,Big Time Savings,Radio,53.45,7.56,3.3264,3,prod185,s0,c185,loc0
prom87,Cash Register Lottery,In-Store Coupon,95.78,11.44,4.9192,4,prod626,s0,c188,loc0
prom88,Cash Register Lottery,"Sunday Paper, Radio",123.61,8.58,4.1184,3,prod626,s0,c626,loc0
prom89,Price Savers,"Sunday Paper, Radio",80.29,8.58,3.003,3,prod626,s0,c627,loc0
prom90,Big Time Savings,Radio,53.45,11.44,5.148,4,prod626,s0,c630,loc0
prom91,One Day Sale,"Daily Paper, Radio, TV",131.75,8.58,3.5178,3,prod626,s0,c646,loc0
prom92,Save-It Sale,Radio,144.38,8.31,2.8254,3,prod628,s0,c152,loc0
prom93,Cash Register Lottery,"Daily Paper, Radio",59.86,11.08,5.2076,4,prod628,s0,c628,loc0
prom94,Price Savers,"Sunday Paper, Radio",80.29,11.08,4.7644,4,prod628,s0,c636,loc0
prom95,Cash Register Lottery,"Daily Paper, Radio",59.86,11.08,3.6564,4,prod628,s0,c639,loc0
prom96,Big Time Savings,Radio,53.45,6.51,2.0832,3,prod629,s0,c2,loc0
prom97,Save-It Sale,Radio,144.38,8.68,4.2532,4,prod629,s0,c629,loc0
prom98,I Cant Believe It Sale,Product Attachment,69.47,4.34,1.6926,2,prod629,s0,c635,loc0
prom99,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,4.34,1.4322,2,prod629,s0,c637,loc0
prom100,Cash Register Lottery,"Daily Paper, Radio",59.86,6.51,3.0597,3,prod629,s0,c638,loc0
prom101,Big Time Discounts,"Daily Paper, Radio",111.51,8.68,3.038,4,prod629,s0,c641,loc0
prom102,Green Light Days,Daily Paper,66.27,6.51,2.8644,3,prod629,s0,c642,loc0
prom103,Cash Register Lottery,"Daily Paper, Radio",59.86,9.2,4.6,4,prod631,s0,c631,loc0
prom104,Price Savers,"Sunday Paper, Radio",80.29,9.33,3.3588,3,prod633,s0,c14,loc0
prom105,One Day Sale,"Daily Paper, Radio, TV",131.75,12.44,5.4736,4,prod633,s0,c150,loc0
prom106,I Cant Believe It Sale,Product Attachment,69.47,9.33,4.5717,3,prod633,s0,c640,loc0
prom107,Cash Register Lottery,"Sunday Paper, Radio",123.61,9.33,4.5717,3,prod633,s0,c643,loc0
prom108,Cash Register Lottery,In-Store Coupon,95.78,4.52,1.808,4,prod741,s0,c1,loc0
prom109,I Cant Believe It Sale,Product Attachment,69.47,4.52,1.9888,4,prod741,s0,c6,loc0
prom110,Bag Stuffers,Product Attachment,82.62,3.39,1.356,3,prod741,s0,c754,loc0
prom111,Double Down Sale,Radio,50.79,2.26,1.0848,2,prod741,s0,c767,loc0
prom112,Bag Stuffers,"Daily Paper, Radio",126.62,2.26,0.8814,2,prod741,s0,c784,loc0
prom113,Price Savers,"Sunday Paper, Radio",80.29,4.52,1.6724,4,prod741,s0,c804,loc0
prom114,Bag Stuffers,Product Attachment,82.62,3.39,1.1526,3,prod741,s0,c808,loc0
prom115,Cash Register Lottery,"Daily Paper, Radio",59.86,3.39,1.695,3,prod741,s0,c812,loc0
prom116,Bag Stuffers,"Daily Paper, Radio",126.62,8.91,4.0095,3,prod742,s0,c0,loc0
prom117,Price Slashers,"Sunday Paper, Radio, TV",54.11,11.88,4.752,4,prod742,s0,c744,loc0
prom118,I Cant Believe It Sale,Product Attachment,69.47,8.91,4.2768,3,prod742,s0,c783,loc0
prom119,One Day Sale,"Daily Paper, Radio, TV",131.75,5.94,2.8512,2,prod742,s0,c796,loc0
prom120,Cash Register Lottery,In-Store Coupon,95.78,11.88,5.8212,4,prod742,s0,c800,loc0
prom121,Cash Register Lottery,"Daily Paper, Radio",59.86,8.56,3.9376,4,prod744,s0,c168,loc0
prom122,Price Slashers,"Sunday Paper, Radio, TV",54.11,6.42,2.889,3,prod744,s0,c744,loc0
prom123,Save-It Sale,Radio,144.38,5.43,2.1177,3,prod746,s0,c135,loc0
prom124,Big Time Discounts,"Daily Paper, Radio",111.51,5.43,2.0634,3,prod746,s0,c153,loc0
prom125,Bag Stuffers,Product Attachment,82.62,7.24,2.6064,4,prod746,s0,c746,loc0
prom126,One Day Sale,"Daily Paper, Radio, TV",131.75,7.24,3.3304,4,prod746,s0,c757,loc0
prom127,Tip Top Savings,"Daily Paper, Radio, TV",54.9,3.62,1.7376,2,prod746,s0,c763,loc0
prom128,I Cant Believe It Sale,Product Attachment,69.47,5.43,2.5521,3,prod746,s0,c766,loc0
prom129,Cash Register Lottery,"Sunday Paper, Radio",123.61,7.24,2.896,4,prod746,s0,c770,loc0
prom130,Cash Register Lottery,"Daily Paper, Radio",59.86,3.62,1.5928,2,prod746,s0,c771,loc0
prom131,Cash Register Lottery,"Sunday Paper, Radio",123.61,3.96,1.4256,3,prod747,s0,c746,loc0
prom132,Green Light Days,Daily Paper,66.27,3.69,1.1808,3,prod748,s0,c748,loc0
prom133,Bag Stuffers,"Daily Paper, Radio",126.62,3.08,1.2628,4,prod750,s0,c135,loc0
prom134,Cash Register Lottery,"Daily Paper, Radio",59.86,2.31,1.0395,3,prod750,s0,c154,loc0
prom135,Tip Top Savings,"Daily Paper, Radio, TV",54.9,2.31,1.0626,3,prod750,s0,c764,loc0
prom136,Bag Stuffers,"Daily Paper, Radio",126.62,3.08,1.3552,4,prod750,s0,c782,loc0
prom137,I Cant Believe It Sale,Product Attachment,69.47,3.85,1.1935,5,prod750,s0,c788,loc0
prom138,Cash Register Lottery,"Daily Paper, Radio",59.86,1.54,0.5236,2,prod750,s0,c794,loc0
prom139,Bag Stuffers,"Daily Paper, Radio",126.62,10.92,4.4772,4,prod751,s0,c751,loc0
prom140,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,5.46,1.911,2,prod751,s0,c768,loc0
prom141,Bag Stuffers,Product Attachment,82.62,7.44,2.6784,3,prod752,s0,c752,loc0
prom142,Cash Register Lottery,"Sunday Paper, Radio",123.61,9.92,3.1744,4,prod752,s0,c778,loc0
prom143,I Cant Believe It Sale,Product Attachment,69.47,5.52,2.208,3,prod753,s0,c146,loc0
prom144,I Cant Believe It Sale,Product Attachment,69.47,7.36,2.7232,4,prod753,s0,c635,loc0
prom145,Bag Stuffers,"Daily Paper, Radio",126.62,7.36,3.0176,4,prod753,s0,c753,loc0
prom146,Bag Stuffers,Product Attachment,82.62,5.52,1.8768,3,prod753,s0,c775,loc0
prom147,Double Down Sale,Radio,50.79,5.4,1.728,4,prod755,s0,c140,loc0
prom148,Tip Top Savings,"Daily Paper, Radio, TV",54.9,5.4,2.052,4,prod755,s0,c159,loc0
prom149,Price Savers,"Sunday Paper, Radio",80.29,2.7,0.999,2,prod755,s0,c181,loc0
prom150,Cash Register Lottery,"Daily Paper, Radio",59.86,2.98,0.9238,2,prod756,s0,c756,loc0
prom151,I Cant Believe It Sale,Product Attachment,69.47,4.47,2.1009,3,prod756,s0,c787,loc0
prom152,Double Down Sale,Radio,50.79,2.98,1.2218,2,prod756,s0,c789,loc0
prom153,Cash Register Lottery,"Sunday Paper, Radio",123.61,4.47,1.9668,3,prod756,s0,c807,loc0
prom154,Cash Register Lottery,"Daily Paper, Radio",59.86,3.9,1.638,3,prod758,s0,c161,loc0
prom155,Bag Stuffers,"Daily Paper, Radio",126.62,3.9,1.404,3,prod758,s0,c758,loc0
prom156,Double Down Sale,Radio,50.79,3.9,1.443,3,prod758,s0,c765,loc0
prom157,I Cant Believe It Sale,Product Attachment,69.47,5.2,2.288,4,prod758,s0,c806,loc0
prom158,Bag Stuffers,"Daily Paper, Radio",126.62,5.2,1.924,4,prod758,s0,c810,loc0
prom159,Cash Register Lottery,In-Store Coupon,95.78,1.74,0.7134,3,prod759,s0,c6,loc0
prom160,Price Savers,"Sunday Paper, Radio",80.29,2.32,0.8584,4,prod759,s0,c14,loc0
prom161,Big Time Discounts,"Daily Paper, Radio",111.51,2.32,1.0208,4,prod759,s0,c641,loc0
prom162,Cash Register Lottery,"Daily Paper, Radio",59.86,1.16,0.4408,2,prod759,s0,c759,loc0
prom163,I Cant Believe It Sale,Product Attachment,69.47,2.32,0.7888,4,prod759,s0,c786,loc0
prom164,Price Slashers,"Sunday Paper, Radio, TV",54.11,7.7,2.926,5,prod760,s0,c637,loc0
prom165,Cash Register Lottery,"Daily Paper, Radio",59.86,4.62,2.1252,3,prod760,s0,c792,loc0
prom166,Bag Stuffers,Product Attachment,82.62,6.16,2.3408,4,prod760,s0,c798,loc0
prom167,Price Savers,"Sunday Paper, Radio",80.29,3.08,0.9856,2,prod760,s0,c813,loc0
prom168,Free For All,Product Attachment,143.83,11.1,3.441,5,prod762,s0,c191,loc0
prom169,Price Slashers,"Sunday Paper, Radio, TV",54.11,4.44,1.5984,2,prod762,s0,c762,loc0
prom170,Price Savers,"Sunday Paper, Radio",80.29,8.88,4.2624,4,prod762,s0,c795,loc0
prom171,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,14.08,5.632,4,prod772,s0,c771,loc0
prom172,Cash Register Lottery,"Daily Paper, Radio",59.86,14.08,5.0688,4,prod772,s0,c785,loc0
prom173,High Roller Savings,"Daily Paper, Radio",84.16,10.56,3.168,3,prod772,s0,c790,loc0
prom174,Cash Register Lottery,In-Store Coupon,95.78,10.56,3.5904,3,prod772,s0,c800,loc0
prom175,I Cant Believe It Sale,Product Attachment,69.47,5.56,2.0572,4,prod780,s0,c162,loc0
prom176,Double Down Sale,Radio,50.79,4.17,1.9182,3,prod780,s0,c809,loc0
prom177,Price Savers,"Sunday Paper, Radio",80.29,11.8,4.012,4,prod791,s0,c791,loc0
prom178,Price Savers,"Sunday Paper, Radio",80.29,7.08,2.1948,3,prod799,s0,c13,loc0
prom179,Price Savers,"Sunday Paper, Radio",80.29,11.8,3.776,5,prod799,s0,c805,loc0
prom180,Bag Stuffers,Product Attachment,82.62,7.08,2.4072,3,prod799,s0,c810,loc0
prom181,High Roller Savings,"Daily Paper, Radio",84.16,8.61,2.7552,3,prod1239,s0,c6,loc0
prom182,Cash Register Lottery,In-Store Coupon,95.78,5.74,2.583,2,prod1239,s0,c12,loc0
prom183,Price Savers,"Sunday Paper, Radio",80.29,5.74,2.296,2,prod1239,s0,c764,loc0
prom184,Cash Register Lottery,"Daily Paper, Radio",59.86,8.61,3.3579,3,prod1239,s0,c1583,loc0
prom185,High Roller Savings,"Daily Paper, Radio",84.16,4.64,1.5776,4,prod1240,s0,c6,loc0
prom186,I Cant Believe It Sale,Product Attachment,69.47,2.32,1.044,2,prod1240,s0,c178,loc0
prom187,Price Slashers,"Sunday Paper, Radio, TV",54.11,4.64,1.9488,4,prod1240,s0,c744,loc0
prom188,Big Time Discounts,"Daily Paper, Radio",111.51,3.48,1.2528,3,prod1240,s0,c1444,loc0
prom189,High Roller Savings,"Daily Paper, Radio",84.16,3.48,1.6704,3,prod1240,s0,c1541,loc0
prom190,Save-It Sale,Radio,144.38,4.65,1.395,3,prod1241,s0,c6,loc0
prom191,One Day Sale,"Daily Paper, Radio, TV",131.75,4.65,2.232,3,prod1241,s0,c16,loc0
prom192,Cash Register Lottery,"Daily Paper, Radio",59.86,6.2,2.666,4,prod1241,s0,c128,loc0
prom193,I Cant Believe It Sale,Product Attachment,69.47,4.65,2.1855,3,prod1241,s0,c146,loc0
prom194,Cash Register Lottery,In-Store Coupon,95.78,4.65,1.7205,3,prod1241,s0,c180,loc0
prom195,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,6.2,2.79,4,prod1241,s0,c771,loc0
prom196,I Cant Believe It Sale,Product Attachment,69.47,6.2,1.984,4,prod1241,s0,c1411,loc0
prom197,Big Time Discounts,"Daily Paper, Radio",111.51,6.2,2.232,4,prod1241,s0,c1623,loc0
prom198,Cash Register Lottery,"Sunday Paper, Radio",123.61,7.84,3.6848,4,prod1242,s0,c778,loc0
prom199,Cash Register Lottery,"Sunday Paper, Radio",123.61,5.88,1.8816,3,prod1242,s0,c794,loc0
prom200,Free For All,Product Attachment,143.83,9.8,3.528,5,prod1242,s0,c1283,loc0
prom201,Cash Register Lottery,"Daily Paper, Radio",59.86,5.88,2.7636,3,prod1242,s0,c1411,loc0
prom202,Cash Register Lottery,"Daily Paper, Radio",59.86,7.84,3.7632,4,prod1242,s0,c1473,loc0
prom203,Double Down Sale,Radio,50.79,5.24,1.7292,2,prod1243,s0,c140,loc0
prom204,Cash Register Lottery,"Sunday Paper, Radio",123.61,7.86,2.751,3,prod1243,s0,c794,loc0
prom205,I Cant Believe It Sale,Product Attachment,69.47,7.86,2.9868,3,prod1243,s0,c1477,loc0
prom206,Bag Stuffers,"Daily Paper, Radio",126.62,7.86,3.537,3,prod1243,s0,c1558,loc0
prom207,Cash Register Lottery,"Daily Paper, Radio",59.86,1.26,0.6174,2,prod1244,s0,c794,loc0
prom208,Big Time Discounts,"Daily Paper, Radio",111.51,1.89,0.6615,3,prod1244,s0,c1476,loc0
prom209,Cash Register Lottery,"Sunday Paper, Radio",123.61,13.75,5.225,5,prod1246,s0,c1246,loc0
prom210,Cash Register Lottery,In-Store Coupon,95.78,11.0,4.29,4,prod1246,s0,c1368,loc0
prom211,I Cant Believe It Sale,Product Attachment,69.47,3.93,1.4934,3,prod1247,s0,c0,loc0
prom212,Price Slashers,"Sunday Paper, Radio, TV",54.11,2.62,0.9956,2,prod1247,s0,c0,loc0
prom213,Big Time Savings,Radio,53.45,3.93,1.8078,3,prod1247,s0,c139,loc0
prom214,Tip Top Savings,"Daily Paper, Radio, TV",54.9,2.72,0.9792,2,prod1249,s0,c1,loc0
prom215,Cash Register Lottery,"Daily Paper, Radio",59.86,5.44,2.2848,4,prod1249,s0,c155,loc0
prom216,Bag Stuffers,"Daily Paper, Radio",126.62,4.08,1.7952,3,prod1249,s0,c1399,loc0
prom217,Double Down Sale,Radio,50.79,5.3,1.855,2,prod1250,s0,c1,loc0
prom218,Price Slashers,"Sunday Paper, Radio, TV",54.11,7.95,3.4185,3,prod1250,s0,c136,loc0
prom219,Green Light Days,Daily Paper,66.27,5.3,2.067,2,prod1250,s0,c638,loc0
prom220,I Cant Believe It Sale,Product Attachment,69.47,10.6,3.922,4,prod1250,s0,c766,loc0
prom221,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,10.6,3.498,4,prod1250,s0,c1307,loc0
prom222,Big Time Discounts,"Daily Paper, Radio",111.51,5.3,2.491,2,prod1250,s0,c1651,loc0
prom223,Double Down Sale,Radio,50.79,8.64,4.32,3,prod1251,s0,c1,loc0
prom224,Big Time Savings,Radio,53.45,11.52,4.9536,4,prod1251,s0,c166,loc0
prom225,High Roller Savings,"Daily Paper, Radio",84.16,8.64,4.2336,3,prod1251,s0,c748,loc0
prom226,Free For All,Product Attachment,143.83,8.64,3.9744,3,prod1251,s0,c807,loc0
prom227,High Roller Savings,"Daily Paper, Radio",84.16,8.64,2.6784,3,prod1251,s0,c1499,loc0
prom228,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,8.64,4.2336,3,prod1251,s0,c1619,loc0
prom229,Tip Top Savings,"Daily Paper, Radio, TV",54.9,6.57,2.2995,3,prod1252,s0,c1,loc0
prom230,Tip Top Savings,"Daily Paper, Radio, TV",54.9,6.57,3.0222,3,prod1252,s0,c160,loc0
prom231,Cash Register Lottery,"Sunday Paper, Radio",123.61,8.76,3.942,4,prod1252,s0,c807,loc0
prom232,Bag Stuffers,"Daily Paper, Radio",126.62,6.57,2.628,3,prod1252,s0,c1373,loc0
prom233,Double Down Sale,Radio,50.79,6.57,2.2338,3,prod1252,s0,c1586,loc0
prom234,Big Time Discounts,"Daily Paper, Radio",111.51,6.57,2.4966,3,prod1252,s0,c1639,loc0
prom235,High Roller Savings,"Daily Paper, Radio",84.16,14.56,7.1344,4,prod1253,s0,c2,loc0
prom236,One Day Sale,"Daily Paper, Radio, TV",131.75,10.92,5.3508,3,prod1253,s0,c2,loc0
prom237,Price Slashers,"Sunday Paper, Radio, TV",54.11,10.92,4.0404,3,prod1253,s0,c1511,loc0
prom238,Bag Stuffers,Product Attachment,82.62,10.92,4.2588,3,prod1253,s0,c1590,loc0
prom239,Tip Top Savings,"Daily Paper, Radio, TV",54.9,8.72,4.0112,4,prod1255,s0,c130,loc0
prom240,Bag Stuffers,"Daily Paper, Radio",126.62,6.54,2.289,3,prod1255,s0,c1307,loc0
prom241,Free For All,Product Attachment,143.83,6.54,3.2046,3,prod1255,s0,c1448,loc0
prom242,Save-It Sale,Radio,144.38,1.86,0.8742,2,prod1256,s0,c130,loc0
prom243,Free For All,Product Attachment,143.83,2.79,1.1997,3,prod1256,s0,c155,loc0
prom244,Cash Register Lottery,In-Store Coupon,95.78,2.79,1.2276,3,prod1256,s0,c1442,loc0
prom245,Cash Register Lottery,"Daily Paper, Radio",59.86,2.79,0.8649,3,prod1256,s0,c1515,loc0
prom246,Bag Stuffers,"Daily Paper, Radio",126.62,2.79,1.0602,3,prod1256,s0,c1531,loc0
prom247,I Cant Believe It Sale,Product Attachment,69.47,7.82,2.8152,2,prod1257,s0,c2,loc0
prom248,Save-It Sale,Radio,144.38,7.82,2.9716,2,prod1257,s0,c130,loc0
prom249,Green Light Days,Daily Paper,66.27,19.55,6.647,5,prod1257,s0,c1368,loc0
prom250,Price Savers,"Sunday Paper, Radio",80.29,7.82,2.8934,2,prod1257,s0,c1579,loc0
prom251,Bag Stuffers,"Daily Paper, Radio",126.62,11.73,4.5747,3,prod1257,s0,c1585,loc0
prom252,Double Down Sale,Radio,50.79,11.73,4.692,3,prod1257,s0,c1586,loc0
prom253,Big Time Discounts,"Daily Paper, Radio",111.51,11.73,3.7536,3,prod1257,s0,c1631,loc0
prom254,One Day Sale,"Daily Paper, Radio, TV",131.75,10.0,3.1,4,prod1258,s0,c4,loc0
prom255,Price Slashers,"Sunday Paper, Radio, TV",54.11,10.0,5.0,4,prod1258,s0,c746,loc0
prom256,Cash Register Lottery,In-Store Coupon,95.78,5.0,2.4,2,prod1258,s0,c813,loc0
prom257,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,10.0,3.7,4,prod1258,s0,c1288,loc0
prom258,Big Time Savings,Radio,53.45,7.5,2.85,3,prod1258,s0,c1399,loc0
prom259,I Cant Believe It Sale,Product Attachment,69.47,3.6,1.116,3,prod1259,s0,c149,loc0
prom260,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,4.8,1.968,4,prod1259,s0,c1259,loc0
prom261,High Roller Savings,"Daily Paper, Radio",84.16,4.8,1.68,4,prod1259,s0,c1324,loc0
prom262,Cash Register Lottery,"Daily Paper, Radio",59.86,2.4,0.864,2,prod1259,s0,c1439,loc0
