,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,store_city,store_state,media_type,cost,promotion_name,store_sales_in_millions
42,1,0,0.0,1,2,1,0,3.0,30000,0.0,7,2,3,69.63,47,5.52
43,1,0,1.0,3,1,3,1,4.0,50000,0.0,7,2,3,69.63,47,3.68
44,1,0,4.0,3,1,3,1,3.0,110000,0.0,7,2,1,123.88,2,3.68
45,1,0,1.0,0,2,1,1,1.0,10000,0.0,7,2,7,76.98,27,3.68
46,1,1,4.0,3,1,3,1,3.0,50000,0.0,7,2,5,135.8,4,6.48
47,0,0,1.0,1,1,3,1,2.0,110000,0.0,7,2,8,138.53,35,7.48
48,1,0,2.0,0,1,3,1,3.0,130000,0.0,7,2,7,91.28,43,6.48
49,0,1,2.0,3,1,4,0,2.0,70000,1.0,7,2,6,138.23,28,12.96
50,1,0,2.0,3,3,4,0,3.0,110000,0.0,7,2,10,80.0,38,5.61
51,1,0,3.0,0,1,4,0,2.0,70000,0.0,7,2,7,99.77,36,12.96
52,1,1,0.0,1,1,3,1,1.0,70000,0.0,7,2,3,69.63,47,6.48
53,0,1,5.0,1,1,1,1,3.0,30000,5.0,7,2,3,69.63,47,9.72
54,1,1,3.0,0,0,2,1,0.0,10000,0.0,7,2,7,91.28,43,3.74
55,0,0,2.0,0,0,1,1,2.0,10000,0.0,7,2,7,91.28,43,12.96
56,0,0,0.0,0,0,1,1,0.0,10000,0.0,7,2,8,59.19,11,4.92
57,1,1,0.0,0,0,2,1,2.0,10000,0.0,7,2,0,66.78,45,9.72
58,0,1,4.0,1,3,2,1,3.0,30000,4.0,8,2,0,116.74,31,4.08
59,0,0,1.0,3,1,3,1,2.0,70000,1.0,8,2,8,97.45,15,7.36
60,0,0,1.0,3,1,3,1,2.0,70000,1.0,8,2,10,64.99,39,7.36
61,0,0,3.0,3,1,4,0,4.0,50000,2.0,8,2,2,100.91,38,3.68
62,0,0,2.0,3,1,4,1,2.0,30000,2.0,8,2,11,79.95,46,5.52
63,0,0,4.0,0,0,2,1,1.0,10000,4.0,8,2,10,64.99,39,3.28
64,0,1,3.0,0,1,1,0,2.0,30000,1.0,8,2,4,89.37,33,9.72
65,1,0,4.0,0,0,1,0,1.0,10000,0.0,8,2,10,136.57,35,6.56
66,0,1,1.0,3,3,4,1,3.0,70000,1.0,8,2,3,62.26,25,3.28
67,1,1,3.0,1,1,2,1,2.0,30000,0.0,8,2,10,136.57,35,5.61
68,1,1,3.0,1,1,2,1,2.0,30000,0.0,8,2,3,62.67,11,2.72
69,0,0,3.0,3,1,3,0,2.0,70000,2.0,8,2,10,64.99,39,5.61
70,0,1,2.0,4,1,4,1,4.0,70000,1.0,8,2,10,64.99,39,9.72
71,1,0,2.0,2,0,1,0,4.0,30000,0.0,8,2,4,57.52,44,2.72
72,1,0,4.0,3,1,3,0,3.0,50000,0.0,8,2,4,57.52,44,16.2
73,1,0,2.0,4,1,3,1,3.0,110000,0.0,3,0,4,146.41,3,3.68
74,1,0,2.0,3,1,4,1,2.0,70000,0.0,3,0,1,128.2,26,5.61
75,0,1,4.0,0,0,2,0,0.0,10000,1.0,3,0,2,68.97,44,12.96
76,0,1,5.0,1,3,2,1,2.0,30000,5.0,3,0,1,128.2,26,5.44
77,0,1,4.0,2,2,2,0,3.0,50000,1.0,3,0,4,107.89,37,6.56
78,1,1,3.0,3,1,3,0,4.0,50000,0.0,3,0,8,53.37,47,9.72
79,0,1,1.0,4,1,3,1,4.0,130000,1.0,3,0,4,58.16,5,4.08
80,1,0,2.0,1,0,2,1,0.0,10000,0.0,3,0,9,143.04,10,4.92
81,0,1,0.0,1,0,3,0,3.0,130000,0.0,3,0,2,81.79,33,3.74
82,0,0,2.0,3,1,3,0,3.0,70000,1.0,1,0,4,85.88,22,3.68
83,0,1,0.0,4,1,4,1,2.0,70000,0.0,1,0,4,85.88,22,5.52
84,1,0,2.0,2,1,4,0,4.0,30000,0.0,1,0,7,137.46,13,5.52
85,1,1,3.0,1,1,1,1,2.0,30000,0.0,1,0,8,137.34,37,7.36
86,1,1,1.0,2,1,4,0,1.0,30000,0.0,1,0,3,149.75,43,5.52
87,1,0,1.0,1,2,4,1,4.0,150000,0.0,1,0,0,117.86,37,4.08
88,0,1,4.0,2,1,1,1,2.0,30000,1.0,1,0,11,67.11,34,5.44
89,1,1,3.0,0,0,1,1,0.0,10000,0.0,1,0,4,58.16,5,12.96
90,1,1,0.0,1,1,2,0,4.0,50000,0.0,1,0,2,101.84,18,9.72
91,0,0,0.0,2,0,3,0,2.0,30000,0.0,1,0,9,126.88,43,12.96
92,0,1,3.0,2,1,0,0,4.0,30000,2.0,1,0,2,81.79,33,4.08
93,1,0,1.0,3,3,3,1,1.0,110000,0.0,1,0,8,137.34,37,5.44
94,1,1,4.0,1,1,1,1,4.0,30000,0.0,1,0,4,58.16,5,12.96
95,1,0,5.0,1,1,2,0,4.0,30000,0.0,1,0,4,85.88,22,11.22
96,0,1,0.0,1,1,1,1,3.0,30000,0.0,1,0,4,85.88,22,12.96
97,1,0,1.0,1,1,3,1,3.0,110000,0.0,1,0,4,85.88,22,5.44
98,0,0,4.0,1,3,2,1,3.0,30000,3.0,1,0,0,96.55,32,9.72
99,0,1,4.0,0,0,1,1,1.0,10000,4.0,1,0,2,55.96,11,6.56
100,0,0,2.0,1,1,4,0,3.0,110000,2.0,4,1,12,108.22,48,5.52
101,0,1,2.0,0,0,1,1,1.0,10000,1.0,4,1,2,52.06,14,3.68
102,1,1,4.0,3,1,4,0,4.0,50000,0.0,4,1,2,140.57,47,16.2
103,0,0,1.0,1,0,4,1,2.0,70000,0.0,4,1,6,137.7,30,4.92
104,1,1,2.0,2,1,2,0,1.0,30000,0.0,4,1,12,72.61,18,4.92
105,1,1,0.0,1,1,2,0,4.0,30000,0.0,4,1,8,117.4,47,4.92
106,0,0,4.0,2,1,2,1,3.0,30000,4.0,4,1,2,140.57,47,6.8
107,1,0,3.0,3,1,4,1,3.0,50000,0.0,4,1,6,62.27,26,9.72
108,1,0,2.0,3,1,3,1,3.0,70000,0.0,4,1,5,145.6,3,6.48
109,1,1,4.0,3,1,3,1,2.0,50000,0.0,4,1,1,139.19,16,4.08
110,1,0,1.0,3,1,3,1,2.0,50000,0.0,0,2,2,90.58,7,3.28
111,0,0,4.0,1,1,1,1,4.0,30000,4.0,0,2,12,114.98,39,1.36
112,0,1,1.0,0,0,2,1,1.0,10000,0.0,0,2,3,109.03,32,1.87
113,1,1,2.0,3,0,4,1,0.0,10000,0.0,2,2,5,109.21,36,3.68
114,1,0,3.0,2,1,0,0,4.0,30000,0.0,2,2,9,106.1,36,5.52
115,1,0,4.0,1,3,4,1,2.0,70000,0.0,2,2,5,123.02,17,7.36
116,1,0,2.0,1,1,1,0,1.0,30000,0.0,2,2,5,123.02,17,5.52
117,1,1,2.0,1,1,1,0,2.0,30000,0.0,2,2,9,51.27,48,4.08
118,1,1,2.0,1,1,1,0,2.0,30000,0.0,2,2,5,109.21,36,6.48
119,1,1,5.0,2,1,1,0,3.0,30000,0.0,2,2,1,129.5,38,6.56
120,0,1,0.0,0,0,1,1,0.0,10000,0.0,2,2,4,58.27,25,5.61
121,0,1,3.0,1,1,1,0,4.0,30000,1.0,2,2,4,58.27,25,5.61
122,0,1,0.0,0,0,1,1,1.0,10000,0.0,2,2,10,115.05,25,2.72
123,1,1,1.0,0,0,2,1,0.0,10000,0.0,2,2,11,82.61,20,9.72
124,1,1,4.0,3,1,4,1,4.0,50000,0.0,2,2,1,129.5,38,8.2
125,0,1,2.0,0,1,1,1,3.0,30000,1.0,2,2,1,145.52,24,6.56
126,0,0,4.0,3,2,3,1,3.0,70000,3.0,6,0,0,84.97,8,2.72
127,1,0,4.0,1,1,2,0,2.0,30000,0.0,5,1,5,95.78,6,11.96
128,0,1,4.0,0,0,2,1,1.0,10000,0.0,5,1,10,80.29,26,6.54
129,1,0,4.0,0,0,1,0,1.0,10000,0.0,5,1,10,80.29,26,14.95
130,1,0,4.0,0,1,3,1,3.0,90000,0.0,5,1,3,126.62,0,2.79
131,0,0,1.0,3,1,4,0,1.0,50000,1.0,5,1,11,54.11,27,3.96
132,0,1,5.0,0,3,2,1,0.0,10000,1.0,5,1,7,144.38,33,6.24
133,1,1,2.0,2,1,3,0,3.0,30000,0.0,5,1,10,80.29,26,3.78
134,0,1,3.0,1,1,4,0,4.0,150000,0.0,5,1,3,126.62,0,1.86
135,0,1,3.0,1,3,3,0,3.0,130000,3.0,5,1,3,126.62,0,8.79
136,1,1,1.0,1,1,3,1,1.0,130000,0.0,5,1,11,54.11,27,8.79
137,0,0,5.0,1,1,1,1,4.0,30000,3.0,5,1,11,54.11,27,4.68
138,0,0,0.0,0,2,4,0,2.0,110000,0.0,5,1,6,69.47,19,3.88
139,1,1,3.0,3,1,3,1,1.0,70000,0.0,5,1,11,54.11,27,5.61
140,0,0,2.0,0,0,2,1,0.0,10000,2.0,5,1,11,54.11,27,11.22
141,1,1,5.0,3,1,4,0,2.0,50000,0.0,5,1,10,80.29,26,8.79
142,1,1,5.0,3,1,4,0,2.0,50000,0.0,5,1,3,59.86,6,6.54
143,1,1,5.0,3,1,4,0,2.0,50000,0.0,5,1,3,126.62,0,2.84
144,1,0,4.0,3,3,3,0,2.0,50000,0.0,5,1,7,50.79,11,9.81
145,1,1,2.0,0,0,1,1,2.0,10000,0.0,5,1,3,126.62,0,5.85
146,1,0,2.0,3,1,4,1,2.0,50000,0.0,5,1,6,69.47,19,7.8
147,0,1,4.0,1,3,1,1,3.0,30000,4.0,5,1,3,84.16,18,9.81
148,0,1,4.0,1,3,1,1,3.0,30000,4.0,5,1,3,84.16,18,6.24
149,0,1,4.0,3,3,3,1,3.0,50000,4.0,5,1,6,69.47,19,2.79
150,0,1,3.0,3,1,3,1,2.0,50000,2.0,5,1,3,84.16,18,15.44
151,1,0,0.0,0,0,1,1,1.0,10000,0.0,5,1,3,126.62,0,1.53
152,0,1,4.0,2,1,3,0,2.0,30000,1.0,5,1,6,69.47,19,13.08
153,1,0,3.0,3,1,4,0,1.0,70000,0.0,5,1,6,69.47,19,14.65
154,1,1,1.0,1,1,1,1,4.0,30000,0.0,5,1,3,126.62,0,1.06
155,1,0,3.0,1,1,3,1,1.0,90000,0.0,5,1,3,59.86,6,8.97
156,0,1,1.0,1,0,1,0,4.0,30000,0.0,5,1,4,55.59,6,15.72
157,1,0,2.0,1,1,1,1,1.0,30000,0.0,5,1,3,84.16,18,4.68
158,0,0,3.0,0,0,2,1,2.0,10000,0.0,5,1,3,126.62,0,6.54
159,0,1,0.0,1,1,1,1,3.0,30000,0.0,5,1,11,54.11,27,8.72
160,0,1,2.0,3,1,3,1,3.0,70000,2.0,5,1,6,69.47,19,15.44
161,0,0,1.0,0,1,2,1,4.0,30000,1.0,5,1,3,59.86,6,2.84
162,1,1,4.0,3,1,3,0,3.0,70000,0.0,5,1,4,54.9,42,1.53
163,0,0,1.0,3,2,3,1,2.0,50000,1.0,5,1,11,54.11,27,6.2
164,0,0,1.0,3,2,3,1,2.0,50000,1.0,5,1,6,69.47,19,7.86
165,0,0,1.0,3,2,3,1,2.0,50000,1.0,5,1,3,126.62,0,6.54
166,1,1,4.0,0,1,4,0,2.0,130000,0.0,5,1,7,53.45,4,11.22
167,1,1,1.0,0,1,1,1,4.0,50000,0.0,5,1,3,59.86,6,8.79
168,0,1,1.0,4,1,4,0,3.0,90000,1.0,5,1,6,69.47,19,6.54
169,1,0,2.0,1,1,1,1,4.0,30000,0.0,5,1,3,59.86,6,9.81
170,0,0,0.0,3,1,4,1,2.0,70000,0.0,5,1,6,82.62,0,6.24
171,0,0,1.0,3,1,3,1,3.0,90000,1.0,5,1,3,59.86,6,5.98
172,1,0,1.0,1,1,1,0,3.0,30000,0.0,5,1,3,126.62,0,8.97
173,1,1,3.0,0,0,2,0,2.0,10000,0.0,5,1,3,126.62,0,15.72
174,1,1,2.0,0,0,1,1,1.0,10000,0.0,5,1,11,54.11,27,7.86
175,0,0,1.0,2,2,0,0,3.0,30000,1.0,5,1,4,55.59,6,9.81
176,0,0,1.0,2,2,0,0,3.0,30000,1.0,5,1,10,80.29,26,4.65
177,0,0,1.0,2,2,0,0,3.0,30000,1.0,5,1,3,59.86,6,7.86
178,0,0,1.0,2,1,1,1,2.0,30000,0.0,5,1,7,53.45,4,2.79
179,1,1,4.0,1,1,2,0,3.0,30000,0.0,5,1,6,69.47,19,7.48
180,1,1,1.0,1,0,1,1,2.0,10000,0.0,5,1,4,54.9,42,1.53
181,1,1,4.0,2,3,3,1,3.0,70000,0.0,5,1,4,55.59,6,2.04
182,0,0,1.0,2,1,3,0,3.0,110000,1.0,5,1,7,53.45,4,2.64
183,0,1,1.0,0,0,2,1,2.0,10000,1.0,5,1,7,144.38,33,3.74
184,0,1,1.0,3,3,3,1,4.0,150000,1.0,5,1,3,126.62,0,5.28
185,1,1,1.0,0,1,2,1,2.0,30000,0.0,5,1,7,53.45,4,7.56
186,1,1,4.0,0,0,2,0,1.0,10000,0.0,5,1,11,54.11,27,2.91
187,0,0,2.0,3,1,3,0,1.0,50000,1.0,5,1,7,50.79,11,9.81
188,1,0,4.0,1,0,2,0,4.0,30000,0.0,5,1,11,54.11,27,6.2
189,1,1,4.0,1,1,3,1,2.0,110000,0.0,5,1,7,144.38,33,5.85
190,1,1,4.0,1,1,3,1,2.0,110000,0.0,5,1,7,144.38,33,13.08
191,1,1,3.0,1,1,1,0,4.0,30000,0.0,5,1,11,54.11,27,11.22
192,1,1,3.0,3,1,3,0,3.0,70000,0.0,5,1,3,59.86,6,5.98
193,0,1,3.0,1,1,2,1,2.0,50000,0.0,5,1,3,59.86,6,11.72
194,0,1,3.0,0,1,1,0,2.0,10000,2.0,5,1,11,54.11,27,7.86
195,0,0,4.0,1,3,1,1,3.0,30000,4.0,5,1,11,54.11,27,3.88
196,1,0,2.0,0,1,3,1,1.0,70000,0.0,9,2,3,138.81,10,7.48
197,0,1,2.0,1,2,4,0,2.0,130000,2.0,9,2,3,138.81,10,1.59
198,0,1,3.0,1,3,3,1,3.0,130000,3.0,9,2,9,69.65,38,11.72
199,0,1,3.0,1,3,3,1,3.0,130000,3.0,9,2,2,91.0,38,6.24
200,0,0,1.0,0,2,1,0,1.0,10000,1.0,9,2,10,111.7,26,8.97
201,0,0,4.0,3,1,3,1,1.0,30000,1.0,9,2,5,109.06,14,3.88
202,0,1,0.0,0,1,4,1,4.0,90000,0.0,9,2,9,69.65,38,5.04
203,0,1,0.0,0,1,4,1,4.0,90000,0.0,9,2,12,95.74,11,13.08
204,1,1,5.0,0,1,3,1,3.0,130000,0.0,9,2,2,70.32,0,5.28
205,0,1,3.0,3,1,3,1,3.0,90000,1.0,9,2,6,149.08,32,6.54
206,0,1,3.0,3,1,3,1,3.0,90000,1.0,9,2,12,95.74,11,9.81
207,1,0,5.0,1,1,1,0,3.0,30000,0.0,9,2,3,138.81,10,15.44
208,0,1,4.0,1,1,2,1,4.0,30000,1.0,9,2,2,103.65,43,5.61
209,0,0,3.0,3,3,3,1,3.0,50000,3.0,9,2,8,115.13,26,2.12
210,0,1,3.0,0,0,2,1,1.0,10000,0.0,9,2,9,69.65,38,3.74
211,1,0,1.0,2,1,2,0,3.0,50000,0.0,9,2,6,149.08,32,3.96
212,1,0,4.0,0,1,1,1,3.0,30000,0.0,9,2,8,67.31,34,5.61
213,1,0,4.0,0,1,1,1,3.0,30000,0.0,9,2,9,69.65,38,2.64
214,1,0,1.0,0,0,2,0,2.0,10000,0.0,9,2,9,69.65,38,3.74
215,1,0,3.0,1,2,2,0,1.0,30000,0.0,9,2,2,70.32,0,11.72
216,1,1,3.0,0,0,1,0,2.0,10000,0.0,9,2,6,149.08,32,6.54
217,1,0,4.0,1,2,1,1,2.0,30000,0.0,9,2,3,138.81,10,2.91
218,0,1,3.0,1,0,3,1,3.0,130000,0.0,9,2,12,95.74,11,10.08
219,0,0,3.0,2,3,3,1,4.0,30000,3.0,9,2,9,51.12,2,1.02
220,1,1,3.0,0,0,1,1,2.0,10000,0.0,9,2,8,67.31,34,1.06
221,1,0,4.0,0,0,2,0,1.0,10000,0.0,9,2,9,51.12,2,8.72
222,1,0,1.0,3,1,3,1,3.0,70000,0.0,9,2,6,59.83,44,3.74
223,1,0,3.0,0,0,2,1,2.0,10000,0.0,9,2,9,51.12,2,1.94
224,1,1,2.0,3,1,3,0,3.0,50000,0.0,9,2,9,69.65,38,7.56
225,1,1,2.0,3,1,3,0,3.0,50000,0.0,9,2,6,149.08,32,7.56
226,0,0,1.0,1,1,1,1,4.0,30000,0.0,9,2,10,111.7,26,11.79
227,1,1,5.0,1,1,1,0,3.0,30000,0.0,9,2,8,115.13,26,1.59
228,0,1,3.0,3,1,3,1,3.0,110000,2.0,9,2,1,71.51,39,2.79
229,1,0,3.0,1,1,1,0,1.0,30000,0.0,9,2,9,51.12,2,2.91
230,1,0,2.0,3,1,3,1,3.0,30000,0.0,9,2,12,95.74,11,2.79
231,1,0,5.0,1,0,1,0,4.0,50000,0.0,9,2,8,142.58,42,2.12
232,1,0,1.0,1,1,2,1,4.0,30000,0.0,9,2,9,69.65,38,10.08
233,1,0,1.0,1,1,2,1,4.0,30000,0.0,9,2,6,149.08,32,7.86
234,1,0,2.0,2,1,4,0,3.0,30000,0.0,9,2,12,95.74,11,2.04
235,1,1,3.0,1,0,2,0,2.0,10000,0.0,9,2,3,138.81,10,1.94
236,0,1,4.0,0,0,1,1,0.0,10000,3.0,9,2,5,109.06,14,8.72
237,1,1,1.0,3,1,3,0,1.0,50000,0.0,9,2,5,73.05,47,15.72
238,0,0,2.0,2,1,4,1,3.0,70000,1.0,9,2,10,111.7,26,4.36
239,0,0,2.0,2,1,4,1,3.0,70000,1.0,9,2,10,111.7,26,1.06
240,0,1,3.0,0,0,1,0,1.0,10000,0.0,9,2,1,71.51,39,15.44
241,1,1,4.0,1,2,2,0,3.0,30000,0.0,9,2,2,91.0,38,2.91
242,0,1,2.0,0,0,1,1,0.0,10000,2.0,9,2,2,103.65,43,3.74
243,0,1,2.0,0,0,1,1,0.0,10000,2.0,9,2,12,95.74,11,11.96
244,0,1,5.0,3,0,4,1,4.0,50000,3.0,9,2,6,149.08,32,1.59
245,0,1,5.0,1,3,1,1,2.0,30000,5.0,9,2,6,149.08,32,11.22
246,0,1,5.0,0,0,1,1,0.0,10000,2.0,9,2,9,51.12,2,7.86
247,0,0,5.0,1,1,2,1,3.0,30000,1.0,9,2,3,138.81,10,11.96
248,0,1,3.0,1,1,2,1,2.0,30000,1.0,9,2,8,67.31,34,5.85
249,0,0,3.0,2,1,4,1,3.0,130000,1.0,9,2,5,94.63,29,8.97
250,1,0,1.0,0,0,2,0,1.0,10000,0.0,9,2,8,142.58,42,5.86
251,0,1,2.0,0,0,2,1,1.0,10000,2.0,9,2,12,95.74,11,4.65
252,0,0,1.0,2,1,3,1,2.0,30000,1.0,9,2,3,138.81,10,14.96
253,1,0,3.0,1,0,1,0,0.0,10000,0.0,9,2,9,69.65,38,3.88
254,1,1,3.0,1,1,2,1,2.0,30000,0.0,9,2,12,95.74,11,5.85
255,1,1,3.0,1,1,2,1,2.0,30000,0.0,9,2,12,95.74,11,3.96
256,0,0,0.0,3,1,3,0,1.0,70000,0.0,9,2,10,136.74,9,2.79
257,1,0,1.0,3,1,4,1,1.0,110000,0.0,9,2,9,69.65,38,6.54
258,0,0,4.0,3,1,3,0,2.0,50000,2.0,9,2,6,149.08,32,4.65
259,0,1,4.0,1,3,1,1,3.0,30000,4.0,9,2,9,69.65,38,11.96
260,1,1,2.0,3,1,4,1,1.0,110000,0.0,9,2,2,91.0,38,2.04
261,0,1,4.0,3,3,4,1,2.0,50000,4.0,9,2,9,139.37,33,2.04
262,1,0,3.0,0,0,1,0,2.0,10000,0.0,9,2,9,51.12,2,11.79
263,1,0,3.0,0,0,1,0,2.0,10000,0.0,9,2,5,94.63,29,7.86
264,1,0,3.0,0,0,1,0,2.0,10000,0.0,9,2,12,95.74,11,2.84
265,0,0,3.0,0,1,1,1,1.0,10000,3.0,9,2,3,138.81,10,5.98
266,0,0,3.0,0,1,1,1,1.0,10000,3.0,9,2,8,142.58,42,4.26
267,1,0,2.0,1,1,2,1,4.0,30000,0.0,9,2,9,139.37,33,4.26
268,1,0,2.0,1,1,2,1,4.0,30000,0.0,9,2,6,149.08,32,4.26
269,1,0,5.0,3,1,3,1,2.0,50000,0.0,9,2,5,94.63,29,8.79
270,0,1,1.0,1,1,4,1,4.0,130000,0.0,9,2,2,103.65,43,5.86
271,0,0,2.0,0,1,3,1,2.0,110000,2.0,9,2,9,69.65,38,2.79
272,0,1,1.0,4,1,3,0,3.0,110000,1.0,9,2,6,59.83,44,2.64
273,0,0,2.0,4,1,3,1,2.0,70000,1.0,9,2,9,69.65,38,7.48
274,1,0,2.0,1,1,3,0,1.0,70000,0.0,9,2,10,111.7,26,4.68
275,1,0,5.0,1,1,2,0,3.0,30000,0.0,9,2,6,59.83,44,8.97
276,0,1,2.0,2,1,4,0,1.0,30000,0.0,9,2,3,138.81,10,11.22
277,1,0,2.0,0,3,2,1,1.0,30000,0.0,9,2,6,122.47,41,15.72
278,1,1,4.0,3,1,3,1,3.0,50000,0.0,7,2,5,135.8,4,4.26
279,0,1,2.0,0,0,2,1,0.0,10000,2.0,7,2,4,137.77,45,13.08
280,1,1,3.0,0,1,4,0,1.0,70000,0.0,7,2,7,76.98,27,3.78
281,0,0,2.0,1,1,2,1,3.0,30000,0.0,7,2,8,138.53,35,8.79
282,0,0,0.0,2,1,2,1,2.0,30000,0.0,7,2,8,114.01,1,1.86
283,0,1,1.0,2,1,0,0,2.0,30000,1.0,7,2,7,99.77,36,7.48
284,0,0,4.0,1,3,1,1,2.0,30000,4.0,7,2,10,80.0,38,5.98
285,1,1,4.0,1,2,3,1,3.0,90000,0.0,7,2,3,69.63,47,4.26
286,1,1,4.0,0,0,2,0,1.0,10000,0.0,7,2,4,144.18,9,8.79
287,0,0,2.0,0,3,1,1,2.0,10000,1.0,7,2,4,137.77,45,5.86
288,1,0,4.0,2,1,0,1,3.0,30000,0.0,7,2,7,91.28,43,2.65
289,1,1,0.0,1,1,4,1,3.0,110000,0.0,7,2,4,137.77,45,4.65
290,1,1,1.0,0,3,1,0,1.0,10000,0.0,7,2,3,69.63,47,14.96
291,0,1,1.0,0,0,1,1,2.0,10000,0.0,7,2,11,100.44,27,6.54
292,0,1,1.0,0,0,1,1,2.0,10000,0.0,7,2,11,100.44,27,5.98
293,1,1,2.0,2,1,0,0,3.0,30000,0.0,7,2,9,133.6,47,8.72
294,1,1,2.0,2,0,4,1,3.0,30000,0.0,7,2,5,83.51,23,10.08
295,1,1,2.0,2,0,4,1,3.0,30000,0.0,7,2,5,83.51,23,5.61
296,0,0,2.0,1,1,3,0,4.0,110000,2.0,7,2,7,76.98,27,1.06
297,1,1,2.0,3,2,3,1,3.0,150000,0.0,7,2,8,59.19,11,3.88
298,1,0,1.0,3,0,3,1,1.0,10000,0.0,7,2,7,90.58,5,8.97
299,0,0,1.0,4,1,3,1,3.0,70000,0.0,7,2,3,69.63,47,2.91
300,1,0,0.0,0,0,1,0,2.0,10000,0.0,7,2,3,69.63,47,2.04
301,1,0,5.0,3,1,4,1,2.0,50000,0.0,7,2,7,76.98,27,9.35
302,0,0,2.0,3,1,3,1,3.0,50000,2.0,7,2,1,123.88,2,3.12
303,0,1,4.0,1,1,2,1,1.0,30000,1.0,7,2,4,144.18,9,19.65
304,1,1,2.0,3,1,3,1,2.0,130000,0.0,7,2,8,138.53,35,7.48
305,1,1,2.0,3,1,3,1,2.0,130000,0.0,7,2,1,123.88,2,3.74
306,1,1,2.0,0,0,1,0,2.0,10000,0.0,7,2,3,69.63,47,7.48
