,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,cost,promotion_name,store_type,store_city,store_state,media_type
75,12.96,4.536,4.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,68.97,44,3,3,0,2
76,5.44,2.72,4.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,128.2,26,3,3,0,1
77,6.56,2.8208,4.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,107.89,37,3,3,0,4
78,9.72,4.0824,3.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,53.37,47,3,3,0,8
79,4.08,1.5096,3.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,58.16,5,3,3,0,4
80,4.92,2.2632,3.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,143.04,10,3,3,0,9
81,3.74,1.3464,2.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,81.79,33,3,3,0,2
82,3.68,1.5824,2.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,85.88,22,1,1,0,4
83,5.52,2.2632,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,85.88,22,1,1,0,4
84,5.52,2.6496,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,137.46,13,1,1,0,7
85,7.36,3.6064,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,137.34,37,1,1,0,8
86,5.52,2.484,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,149.75,43,1,1,0,3
87,4.08,1.836,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,117.86,37,1,1,0,0
88,5.44,1.6864,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,67.11,34,1,1,0,11
89,12.96,6.0912,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,58.16,5,1,1,0,4
90,9.72,3.7908,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,101.84,18,1,1,0,2
91,12.96,4.536,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,126.88,43,1,1,0,9
92,4.08,1.5912,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,81.79,33,1,1,0,2
93,5.44,2.176,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,137.34,37,1,1,0,8
94,12.96,6.0912,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,58.16,5,1,1,0,4
95,11.22,3.8148,6.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,85.88,22,1,1,0,4
96,12.96,4.9248,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,85.88,22,1,1,0,4
97,5.44,2.0128,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,85.88,22,1,1,0,4
98,9.72,4.2768,3.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,96.55,32,1,1,0,0
99,6.56,2.8208,4.0,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,55.96,11,1,1,0,2
100,5.52,2.3184,3.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,108.22,48,3,4,1,12
101,3.68,1.3248,2.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,52.06,14,3,4,1,2
102,16.2,6.156,5.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,140.57,47,3,4,1,2
103,4.92,1.6236,3.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,137.7,30,3,4,1,6
104,4.92,2.3124,3.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,72.61,18,3,4,1,12
105,4.92,1.8696,3.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,117.4,47,3,4,1,8
106,6.8,2.04,5.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,140.57,47,3,4,1,2
107,9.72,3.0132,3.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,62.27,26,3,4,1,6
108,6.48,3.24,2.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,145.6,3,3,4,1,5
109,4.08,1.9584,3.0,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,139.19,16,3,4,1,1
110,3.28,1.3776,2.0,28206.0,22271.0,3561.0,2374.0,1.0,0.0,0.0,0.0,0.0,90.58,7,2,0,2,2
111,1.36,0.4488,1.0,28206.0,22271.0,3561.0,2374.0,1.0,0.0,0.0,0.0,0.0,114.98,39,2,0,2,12
112,1.87,0.6171,1.0,28206.0,22271.0,3561.0,2374.0,1.0,0.0,0.0,0.0,0.0,109.03,32,2,0,2,3
113,3.68,1.3248,2.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,109.21,36,3,2,2,5
114,5.52,2.6496,3.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,106.1,36,3,2,2,9
115,7.36,2.3552,4.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,123.02,17,3,2,2,5
116,5.52,2.7048,3.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,123.02,17,3,2,2,5
117,4.08,1.632,3.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,51.27,48,3,2,2,9
118,6.48,2.0088,2.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,109.21,36,3,2,2,5
119,6.56,2.4928,4.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,129.5,38,3,2,2,1
120,5.61,2.5245,3.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,58.27,25,3,2,2,4
121,5.61,1.9074,3.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,58.27,25,3,2,2,4
122,2.72,1.36,2.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,115.05,25,3,2,2,10
123,9.72,3.7908,3.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,82.61,20,3,2,2,11
124,8.2,2.542,5.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,129.5,38,3,2,2,1
125,6.56,2.4928,4.0,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,145.52,24,3,2,2,1
126,2.72,1.3328,2.0,22478.0,15321.0,4294.0,2863.0,1.0,0.0,0.0,0.0,0.0,84.97,8,2,6,0,0
127,11.96,5.5016,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,95.78,6,0,5,1,5
128,6.54,2.7468,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,80.29,26,0,5,1,10
129,14.95,4.6345,5.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,80.29,26,0,5,1,10
130,2.79,1.3671,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
131,3.96,1.584,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
132,6.24,2.8704,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,144.38,33,0,5,1,7
133,3.78,1.2474,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,80.29,26,0,5,1,10
134,1.86,0.7812,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
135,8.79,2.9886,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
136,8.79,3.4281,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
137,4.68,2.1996,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
138,3.88,1.3968,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
139,5.61,1.9074,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
140,11.22,3.7026,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
141,8.79,2.8128,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,80.29,26,0,5,1,10
142,6.54,2.8776,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
143,2.84,1.3916,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
144,9.81,4.2183,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,50.79,11,0,5,1,7
145,5.85,2.808,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
146,7.8,2.886,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
147,9.81,3.7278,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,84.16,18,0,5,1,3
148,6.24,1.9968,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,84.16,18,0,5,1,3
149,2.79,1.3671,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
150,15.44,6.4848,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,84.16,18,0,5,1,3
151,1.53,0.5661,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
152,13.08,5.3628,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
153,14.65,6.8855,5.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
154,1.06,0.4134,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
155,8.97,4.1262,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
156,15.72,7.2312,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,55.59,6,0,5,1,4
157,4.68,2.2932,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,84.16,18,0,5,1,3
158,6.54,3.0738,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
159,8.72,3.7496,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
160,15.44,5.7128,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
161,2.84,1.3632,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
162,1.53,0.6579,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.9,42,0,5,1,4
163,6.2,2.418,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
164,7.86,3.537,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
165,6.54,2.0274,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
166,11.22,3.366,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,53.45,4,0,5,1,7
167,8.79,2.8128,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
168,6.54,2.616,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
169,9.81,3.1392,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
170,6.24,2.4336,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,82.62,0,0,5,1,6
171,5.98,2.0332,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
172,8.97,3.2292,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
173,15.72,6.4452,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
174,7.86,3.144,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
175,9.81,4.7088,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,55.59,6,0,5,1,4
176,4.65,2.046,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,80.29,26,0,5,1,10
177,7.86,2.5152,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
178,2.79,0.9765,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,53.45,4,0,5,1,7
179,7.48,3.1416,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,69.47,19,0,5,1,6
180,1.53,0.6732,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.9,42,0,5,1,4
181,2.04,0.714,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,55.59,6,0,5,1,4
182,2.64,1.32,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,53.45,4,0,5,1,7
183,3.74,1.1594,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,144.38,33,0,5,1,7
184,5.28,1.6896,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
185,7.56,3.3264,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,53.45,4,0,5,1,7
186,2.91,1.1349,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
187,9.81,4.5126,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,50.79,11,0,5,1,7
188,6.2,2.48,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
189,5.85,1.9305,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,144.38,33,0,5,1,7
190,13.08,6.54,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,144.38,33,0,5,1,7
191,11.22,5.049,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
192,5.98,2.392,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
193,11.72,4.9224,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
194,7.86,3.144,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
195,3.88,1.94,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
196,7.48,2.9172,2.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,138.81,10,0,9,2,3
197,1.59,0.6996,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,138.81,10,0,9,2,3
198,11.72,3.8676,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
199,6.24,2.7456,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,91.0,38,0,9,2,2
